word	true_class	pred_class
##p	I-LOCAL	B-ORGANIZACAO
Na	O	B-TEMPO
chegada	O	I-TEMPO
do	B-TEMPO	I-TEMPO
deixou	B-TEMPO	O
polícia	B-ORGANIZACAO	O
federal	I-ORGANIZACAO	O
Hy	B-ORGANIZACAO	B-LOCAL
Reg	I-ORGANIZACAO	I-LOCAL
##cy	I-ORGANIZACAO	I-LOCAL
Ar	I-ORGANIZACAO	I-LOCAL
##ub	I-ORGANIZACAO	I-LOCAL
##a	I-ORGANIZACAO	I-LOCAL
Ga	O	B-ORGANIZACAO
##tt	O	B-ORGANIZACAO
Rh	I-ORGANIZACAO	B-ORGANIZACAO
##ôn	I-ORGANIZACAO	B-ORGANIZACAO
##e	I-ORGANIZACAO	B-ORGANIZACAO
-	I-ORGANIZACAO	B-ORGANIZACAO
Pou	I-ORGANIZACAO	B-ORGANIZACAO
##len	I-ORGANIZACAO	B-ORGANIZACAO
##c	I-ORGANIZACAO	B-ORGANIZACAO
##pé	B-LOCAL	I-LOCAL
##ia	B-LOCAL	I-LOCAL
F	O	B-ORGANIZACAO
##úria	O	B-ORGANIZACAO
Metal	O	I-ORGANIZACAO
governo	O	B-ORGANIZACAO
do	O	I-ORGANIZACAO
19	O	B-TEMPO
vezes	O	I-TEMPO
de	O	I-TEMPO
junho	O	I-TEMPO
on	B-TEMPO	O
##tem	B-TEMPO	O
de	O	I-TEMPO
um	O	I-TEMPO
semestre	O	I-TEMPO
F	O	B-PESSOA
##HC	O	B-PESSOA
J	O	B-ORGANIZACAO
##RC	O	B-ORGANIZACAO
I	O	B-ORGANIZACAO
##RA	O	B-ORGANIZACAO
Londres	O	B-LOCAL
on	B-TEMPO	O
##tem	B-TEMPO	O
Presidência	B-ORGANIZACAO	O
da	I-ORGANIZACAO	O
República	I-ORGANIZACAO	O
Para	B-PESSOA	O
às	O	B-TEMPO
7	B-TEMPO	I-TEMPO
##h	B-TEMPO	I-TEMPO
##16	B-TEMPO	I-TEMPO
(	I-TEMPO	O
)	I-TEMPO	O
e	O	I-ORGANIZACAO
G	B-ORGANIZACAO	I-ORGANIZACAO
##ás	B-ORGANIZACAO	I-ORGANIZACAO
em	O	B-TEMPO
um	O	I-TEMPO
dia	O	I-TEMPO
nesta	O	B-TEMPO
nesta	O	B-TEMPO
no	O	B-TEMPO
fechamento	O	I-TEMPO
do	B-TEMPO	I-TEMPO
em	O	B-TEMPO
abril	O	I-TEMPO
Neste	O	B-TEMPO
mês	O	I-TEMPO
Claro	O	B-ORGANIZACAO
PM	B-ORGANIZACAO	O
Alemão	B-ORGANIZACAO	B-LOCAL
Estado	B-LOCAL	B-ORGANIZACAO
do	I-LOCAL	I-ORGANIZACAO
Rio	I-LOCAL	I-ORGANIZACAO
de	I-LOCAL	I-ORGANIZACAO
Janeiro	I-LOCAL	I-ORGANIZACAO
na	O	B-TEMPO
tarde	O	I-TEMPO
desta	O	I-TEMPO
em	O	B-TEMPO
março	B-TEMPO	O
segundo	O	I-TEMPO
dia	O	I-TEMPO
nesta	O	B-TEMPO
na	O	B-TEMPO
última	O	B-TEMPO
Live	O	B-ORGANIZACAO
##W	O	B-ORGANIZACAO
##ire	O	B-ORGANIZACAO
Ev	B-LOCAL	O
##ol	B-LOCAL	O
##ut	B-LOCAL	O
##ion	B-LOCAL	O
seleção	B-ORGANIZACAO	O
espanhola	I-ORGANIZACAO	O
sub	I-ORGANIZACAO	O
-	I-ORGANIZACAO	O
16	I-ORGANIZACAO	O
2015	O	I-TEMPO
Lei	O	B-ORGANIZACAO
Tan	O	B-PESSOA
##ia	O	B-PESSOA
P	B-ORGANIZACAO	O
##EC	B-ORGANIZACAO	O
quinta	I-TEMPO	B-TEMPO
-	I-TEMPO	B-TEMPO
feira	I-TEMPO	B-TEMPO
jornal	B-ORGANIZACAO	O
T	B-ORGANIZACAO	O
Brasil	I-ORGANIZACAO	O
início	O	I-TEMPO
de	O	I-TEMPO
março	O	I-TEMPO
Jo	B-PESSOA	O
##bs	B-PESSOA	O
!	I-ORGANIZACAO	O
Cemitério	B-LOCAL	O
medieval	I-LOCAL	O
Terra	B-LOCAL	B-ORGANIZACAO
em	O	B-TEMPO
dezembro	O	I-TEMPO
DS	B-ORGANIZACAO	O
##J	B-ORGANIZACAO	O
Desco	B-ORGANIZACAO	O
##brindo	B-ORGANIZACAO	O
o	I-ORGANIZACAO	O
Son	I-ORGANIZACAO	O
##ho	I-ORGANIZACAO	O
Jovem	I-ORGANIZACAO	O
centro	B-ORGANIZACAO	O
acadêmico	I-ORGANIZACAO	O
do	B-TEMPO	O
U	I-ORGANIZACAO	B-ORGANIZACAO
##er	I-ORGANIZACAO	B-ORGANIZACAO
Ana	O	B-PESSOA
##ik	O	B-PESSOA
Wei	O	I-PESSOA
##d	O	I-PESSOA
vezes	O	I-TEMPO
200	O	B-TEMPO
vezes	O	I-TEMPO
primeiro	O	I-TEMPO
o	O	I-TEMPO
quarto	O	I-TEMPO
tri	O	I-TEMPO
##mestre	O	I-TEMPO
de	B-TEMPO	I-TEMPO
Tw	B-ORGANIZACAO	O
##itch	B-ORGANIZACAO	O
Nintendo	B-ORGANIZACAO	O
Beat	I-ORGANIZACAO	O
em	O	B-TEMPO
20	O	I-TEMPO
de	O	I-TEMPO
junho	O	I-TEMPO
em	O	B-TEMPO
julho	O	I-TEMPO
ilha	B-LOCAL	O
de	I-LOCAL	O
Gal	I-LOCAL	B-LOCAL
##á	I-LOCAL	B-LOCAL
##pa	I-LOCAL	B-LOCAL
##gos	I-LOCAL	B-LOCAL
seus	I-TEMPO	O
República	O	B-ORGANIZACAO
frequentemente	O	B-TEMPO
entre	O	B-TEMPO
os	O	I-TEMPO
séculos	O	I-TEMPO
XIII	O	I-TEMPO
e	O	I-TEMPO
XIV	O	I-TEMPO
História	B-LOCAL	O
de	I-LOCAL	O
Roma	I-LOCAL	O
a	O	B-TEMPO
20	B-TEMPO	I-TEMPO
Bíblia	O	B-ORGANIZACAO
Habsburgo	B-PESSOA	B-ORGANIZACAO
##s	B-PESSOA	B-ORGANIZACAO
do	I-PESSOA	O
Lie	I-PESSOA	B-LOCAL
##cht	I-PESSOA	B-LOCAL
##enstein	I-PESSOA	B-LOCAL
Estado	B-LOCAL	B-ORGANIZACAO
da	I-LOCAL	I-ORGANIZACAO
Cidade	I-LOCAL	I-ORGANIZACAO
do	I-LOCAL	I-ORGANIZACAO
Vaticano	I-LOCAL	I-ORGANIZACAO
Europa	B-LOCAL	B-ORGANIZACAO
Cristã	O	I-ORGANIZACAO
da	B-LOCAL	O
Síria	I-LOCAL	B-LOCAL
ano	B-TEMPO	O
tempos	I-TEMPO	O
República	B-LOCAL	B-ORGANIZACAO
Socialista	I-LOCAL	I-ORGANIZACAO
Soviética	I-LOCAL	I-ORGANIZACAO
do	I-LOCAL	I-ORGANIZACAO
Vau	B-PESSOA	B-LOCAL
##ban	B-PESSOA	B-LOCAL
por	O	B-TEMPO
um	O	I-TEMPO
período	O	I-TEMPO
de	O	I-TEMPO
seis	O	I-TEMPO
anos	O	I-TEMPO
Lúcio	B-PESSOA	B-LOCAL
Costa	I-PESSOA	I-LOCAL
i	B-LOCAL	O
##gre	B-LOCAL	O
##jin	B-LOCAL	O
##ha	B-LOCAL	O
da	I-LOCAL	O
Pam	I-LOCAL	B-LOCAL
##pul	I-LOCAL	B-LOCAL
no	O	B-TEMPO
das	B-LOCAL	O
Filipinas	I-LOCAL	B-LOCAL
Cus	B-PESSOA	B-LOCAL
##h	B-PESSOA	B-LOCAL
do	I-PESSOA	O
Reino	I-PESSOA	B-LOCAL
Unido	I-PESSOA	I-LOCAL
Espera	B-PESSOA	O
##nto	B-PESSOA	O
Cor	B-PESSOA	B-LOCAL
##isco	B-PESSOA	B-LOCAL
Martinho	I-PESSOA	B-PESSOA
em	O	B-TEMPO
finais	O	I-TEMPO
de	B-TEMPO	I-TEMPO
Greg	B-PESSOA	O
##o	B-PESSOA	O
da	I-PESSOA	O
Suécia	I-PESSOA	B-LOCAL
Pio	I-PESSOA	B-PESSOA
Império	O	B-ORGANIZACAO
Mexic	O	I-ORGANIZACAO
##ano	O	I-ORGANIZACAO
Por	B-PESSOA	O
##fir	B-PESSOA	O
##iato	B-PESSOA	O
Península	O	B-LOCAL
Ibérica	O	I-LOCAL
P	B-PESSOA	B-LOCAL
##ê	B-PESSOA	B-LOCAL
##ro	B-PESSOA	B-LOCAL
da	I-PESSOA	I-LOCAL
Co	I-PESSOA	I-LOCAL
##vil	I-PESSOA	I-LOCAL
##hã	I-PESSOA	I-LOCAL
e	I-LOCAL	O
Vale	I-LOCAL	B-LOCAL
Por	O	B-TEMPO
volta	O	I-TEMPO
de	B-TEMPO	I-TEMPO
governo	B-PESSOA	O
Collor	I-PESSOA	B-PESSOA
em	O	I-TEMPO
do	O	B-TEMPO
final	O	I-TEMPO
da	B-TEMPO	I-TEMPO
M	B-PESSOA	I-PESSOA
.	B-PESSOA	I-PESSOA
na	O	B-TEMPO
Ama	B-PESSOA	O
##nu	B-PESSOA	O
##ense	B-PESSOA	O
Bel	I-PESSOA	O
##mir	I-PESSOA	O
##o	I-PESSOA	O
Alc	B-LOCAL	B-PESSOA
##ino	B-LOCAL	B-PESSOA
Estados	O	B-LOCAL
Estados	O	B-LOCAL
Mi	B-PESSOA	O
##gh	B-PESSOA	O
##ty	B-PESSOA	O
Max	I-PESSOA	O
restaurante	B-LOCAL	O
La	B-LOCAL	B-ORGANIZACAO
Bi	I-LOCAL	I-ORGANIZACAO
##co	I-LOCAL	I-ORGANIZACAO
##cc	I-LOCAL	I-ORGANIZACAO
##a	I-LOCAL	I-ORGANIZACAO
o	O	B-TEMPO
ano	O	I-TEMPO
anos	I-TEMPO	O
Vio	B-PESSOA	O
##lino	B-PESSOA	O
de	I-PESSOA	O
T	I-PESSOA	B-PESSOA
##cha	I-PESSOA	B-PESSOA
##iko	I-PESSOA	B-PESSOA
##v	I-PESSOA	B-PESSOA
##ski	I-PESSOA	B-PESSOA
Din	I-LOCAL	I-PESSOA
Eu	I-LOCAL	B-PESSOA
##n	I-LOCAL	B-PESSOA
##ícia	I-LOCAL	I-PESSOA
Guimarães	I-LOCAL	I-PESSOA
Der	B-PESSOA	B-ORGANIZACAO
##by	B-PESSOA	B-ORGANIZACAO
Pom	O	B-LOCAL
##pé	O	B-LOCAL
##ia	O	B-LOCAL
até	O	B-TEMPO
meados	O	I-TEMPO
de	O	I-TEMPO
95	B-TEMPO	I-TEMPO
museu	O	B-ORGANIZACAO
Get	B-PESSOA	B-ORGANIZACAO
##ty	B-PESSOA	B-ORGANIZACAO
Si	B-PESSOA	B-ORGANIZACAO
##af	B-PESSOA	B-ORGANIZACAO
on	O	B-TEMPO
##tem	O	B-TEMPO
Ira	O	B-PESSOA
Na	O	B-TEMPO
2013	O	I-TEMPO
14	O	I-TEMPO
13	I-TEMPO	O
ocasiões	I-TEMPO	O
de	O	B-TEMPO
2	B-TEMPO	I-TEMPO
##h	B-TEMPO	I-TEMPO
##s	B-TEMPO	I-TEMPO
de	O	I-TEMPO
de	B-TEMPO	O
1000	I-TEMPO	O
A	B-TEMPO	O
partir	I-TEMPO	O
desse	I-TEMPO	O
momento	I-TEMPO	O
até	B-TEMPO	O
mais	I-TEMPO	O
de	I-TEMPO	O
400	I-TEMPO	O
##0	I-TEMPO	O
Sacro	O	B-LOCAL
Império	O	B-LOCAL
Romano	O	I-LOCAL
Ger	O	I-LOCAL
##mânico	O	I-LOCAL
duas	O	B-TEMPO
vezes	O	I-TEMPO
de	B-TEMPO	O
1000	I-TEMPO	O
140	B-TEMPO	O
##0	B-TEMPO	O
Noruega	B-LOCAL	O
da	B-LOCAL	O
Maced	I-LOCAL	B-LOCAL
##ónia	I-LOCAL	B-LOCAL
pré	O	I-TEMPO
-	O	I-TEMPO
históricos	O	I-TEMPO
de	B-TEMPO	O
horas	I-TEMPO	O
Alas	O	B-LOCAL
##ca	O	B-LOCAL
frio	B-TEMPO	O
durante	I-TEMPO	B-TEMPO
Ca	O	B-LOCAL
##za	O	B-LOCAL
##quistão	O	B-LOCAL
durante	O	B-TEMPO
as	O	I-TEMPO
quatro	O	I-TEMPO
décadas	O	I-TEMPO
seguintes	O	I-TEMPO
Santa	B-LOCAL	I-LOCAL
estado	O	B-LOCAL
da	O	I-LOCAL
Paraíba	B-LOCAL	I-LOCAL
no	B-TEMPO	O
período	I-TEMPO	O
Por	O	B-TEMPO
volta	O	I-TEMPO
de	B-TEMPO	I-TEMPO
ilha	B-LOCAL	O
de	I-LOCAL	O
Santa	I-LOCAL	B-LOCAL
Até	O	B-TEMPO
hoje	B-TEMPO	I-TEMPO
Europeu	B-LOCAL	O
##s	B-LOCAL	O
(	I-TEMPO	O
2000	I-TEMPO	B-TEMPO
Ban	B-LOCAL	B-PESSOA
##ju	B-LOCAL	B-PESSOA
##l	B-LOCAL	B-PESSOA
A	O	B-TEMPO
cada	O	I-TEMPO
dois	O	I-TEMPO
anos	O	I-TEMPO
no	B-TEMPO	O
a	O	I-TEMPO
dezembro	O	I-TEMPO
Bienal	B-LOCAL	O
do	I-LOCAL	O
Merc	I-LOCAL	O
##os	I-LOCAL	I-ORGANIZACAO
##ul	I-LOCAL	I-ORGANIZACAO
Oficial	I-LOCAL	I-ORGANIZACAO
do	I-LOCAL	I-ORGANIZACAO
Café	I-LOCAL	I-ORGANIZACAO
##s	B-TEMPO	I-TEMPO
700	O	I-TEMPO
Espanha	O	I-LOCAL
Campeonato	O	B-ORGANIZACAO
Europeu	O	I-ORGANIZACAO
em	B-LOCAL	O
Portugal	I-LOCAL	B-LOCAL
de	B-TEMPO	O
125	I-TEMPO	O
##0	I-TEMPO	O
tem	B-TEMPO	O
127	I-TEMPO	O
##0	I-TEMPO	O
são	B-TEMPO	O
algumas	I-TEMPO	B-TEMPO
Ama	O	B-TEMPO
##n	O	B-TEMPO
##hã	O	B-TEMPO
por	B-TEMPO	O
são	B-TEMPO	O
dias	I-TEMPO	B-TEMPO
estação	O	B-LOCAL
da	O	I-LOCAL
Lapa	B-LOCAL	I-LOCAL
já	O	B-TEMPO
Agu	O	B-LOCAL
##ap	O	B-LOCAL
##é	O	B-LOCAL
este	O	B-TEMPO
mês	O	I-TEMPO
Los	O	B-LOCAL
Ga	O	I-LOCAL
##tos	O	I-LOCAL
muitas	O	B-TEMPO
vezes	O	I-TEMPO
na	O	B-TEMPO
Brasil	B-LOCAL	O
quatro	B-TEMPO	O
anos	I-TEMPO	O
em	O	B-TEMPO
janeiro	B-TEMPO	I-TEMPO
até	O	B-TEMPO
março	B-TEMPO	I-TEMPO
a	B-TEMPO	O
24	I-TEMPO	O
##0	I-TEMPO	O
.	I-TEMPO	O
79	I-TEMPO	O
##3	I-TEMPO	O
de	I-TEMPO	B-TEMPO
2	B-TEMPO	O
##h	B-TEMPO	I-TEMPO
por	B-TEMPO	O
da	O	B-TEMPO
##qui	O	B-TEMPO
três	B-TEMPO	I-TEMPO
três	B-TEMPO	O
semanas	I-TEMPO	O
primeiro	O	I-TEMPO
e	O	I-TEMPO
o	O	I-TEMPO
quarto	O	I-TEMPO
tri	O	I-TEMPO
##mestre	O	I-TEMPO
de	B-TEMPO	I-TEMPO
187	O	B-TEMPO
##9	O	B-TEMPO
-	O	I-TEMPO
188	O	I-TEMPO
##4	O	I-TEMPO
centrais	O	I-LOCAL
del	B-LOCAL	O
##ta	B-LOCAL	O
do	I-LOCAL	O
Reno	I-LOCAL	B-LOCAL
e	I-LOCAL	O
Mos	I-LOCAL	B-LOCAL
##a	I-LOCAL	B-LOCAL
Na	O	B-TEMPO
Pur	O	B-LOCAL
##i	O	B-LOCAL
Viseu	I-LOCAL	B-LOCAL
Afeganistão	O	B-LOCAL
Al	B-LOCAL	B-PESSOA
##pino	B-LOCAL	B-PESSOA
Coroa	B-LOCAL	B-ORGANIZACAO
Britânica	I-LOCAL	I-ORGANIZACAO
Ministério	B-LOCAL	B-ORGANIZACAO
das	I-LOCAL	I-ORGANIZACAO
Relações	I-LOCAL	I-ORGANIZACAO
Exteriores	I-LOCAL	I-ORGANIZACAO
do	O	I-ORGANIZACAO
Brasil	B-LOCAL	I-ORGANIZACAO
Ministério	O	B-ORGANIZACAO
dos	O	I-ORGANIZACAO
Negócios	O	I-ORGANIZACAO
Estrang	O	I-ORGANIZACAO
##eiros	O	I-ORGANIZACAO
de	O	I-ORGANIZACAO
Portugal	B-LOCAL	I-ORGANIZACAO
monte	B-LOCAL	O
Tri	I-LOCAL	B-LOCAL
##gl	I-LOCAL	B-LOCAL
##av	I-LOCAL	B-LOCAL
reino	O	B-LOCAL
Sicília	B-LOCAL	I-LOCAL
cidade	B-LOCAL	O
de	I-LOCAL	O
San	I-LOCAL	B-LOCAL
Fer	I-LOCAL	B-LOCAL
##o	I-LOCAL	B-LOCAL
##é	I-LOCAL	B-LOCAL
Dina	O	B-LOCAL
##mar	O	I-LOCAL
##quês	O	I-LOCAL
Jan	B-LOCAL	B-PESSOA
May	I-LOCAL	I-PESSOA
##en	I-LOCAL	I-PESSOA
desde	O	B-TEMPO
os	O	I-TEMPO
tempos	O	I-TEMPO
pré	O	I-TEMPO
governador	O	B-LOCAL
##ato	O	B-LOCAL
Estado	B-LOCAL	B-ORGANIZACAO
montanhas	B-LOCAL	O
Europeu	B-LOCAL	O
##s	B-LOCAL	O
estado	O	B-LOCAL
do	O	I-LOCAL
Espírito	B-LOCAL	I-LOCAL
Em	O	B-TEMPO
algumas	O	I-TEMPO
Ad	B-LOCAL	B-PESSOA
##dis	B-LOCAL	B-PESSOA
Aba	I-LOCAL	I-PESSOA
##ba	I-LOCAL	I-PESSOA
Dire	B-LOCAL	B-PESSOA
Daw	I-LOCAL	I-PESSOA
##a	I-LOCAL	I-PESSOA
Após	O	B-TEMPO
anos	O	I-TEMPO
placa	O	B-LOCAL
Caribe	B-LOCAL	I-LOCAL
##nha	B-LOCAL	I-LOCAL
Grande	O	B-LOCAL
ilha	B-LOCAL	O
de	I-LOCAL	O
Java	I-LOCAL	B-LOCAL
Indo	O	B-LOCAL
##nes	O	B-LOCAL
##ia	O	B-LOCAL
Nesta	O	B-TEMPO
época	O	I-TEMPO
de	O	I-LOCAL
Gib	B-LOCAL	I-LOCAL
##ral	B-LOCAL	I-LOCAL
##tar	B-LOCAL	I-LOCAL
mar	O	B-LOCAL
Mediterrâneo	B-LOCAL	I-LOCAL
De	O	B-ORGANIZACAO
##bs	O	B-ORGANIZACAO
##wan	O	B-ORGANIZACAO
##a	O	B-ORGANIZACAO
Na	B-LOCAL	B-PESSOA
##uru	B-LOCAL	B-PESSOA
País	B-LOCAL	O
Tha	I-LOCAL	B-LOCAL
##ban	I-LOCAL	B-LOCAL
##a	I-LOCAL	B-LOCAL
-	I-LOCAL	B-LOCAL
N	I-LOCAL	B-LOCAL
e	O	I-LOCAL
de	O	I-LOCAL
To	B-LOCAL	I-LOCAL
##ba	B-LOCAL	I-LOCAL
##go	B-LOCAL	I-LOCAL
Hospital	B-LOCAL	B-ORGANIZACAO
Pro	I-LOCAL	I-ORGANIZACAO
##nto	I-LOCAL	I-ORGANIZACAO
or	O	B-LOCAL
##la	O	B-LOCAL
de	B-LOCAL	I-LOCAL
dos	B-LOCAL	O
Im	I-LOCAL	B-LOCAL
##igrantes	I-LOCAL	B-LOCAL
Manuel	I-LOCAL	I-PESSOA
da	I-LOCAL	I-PESSOA
N	I-LOCAL	I-PESSOA
##ób	I-LOCAL	I-PESSOA
##reg	I-LOCAL	I-PESSOA
##a	I-LOCAL	I-PESSOA
Dom	I-LOCAL	I-PESSOA
##ênico	I-LOCAL	I-PESSOA
Rang	I-LOCAL	I-PESSOA
##oni	I-LOCAL	I-PESSOA
