Camilo	B-PESSOA
Girardin	I-PESSOA
.	O
O	O
cetim,	O
ouvida	O
a	O
resposta	O
do	O
veludo,	O
ofereceu-lhe	O
o	O
braço,	O
e	O
gostou	O
da	O
boa	O
vontade	O
com	O
que	O
lhe	O
foi	O
recebido.	O
-	O
«	O
Conheço	O
»	O
?	O
diz	O
ele	O
?	O
«	O
que	O
o	O
teu	O
contacto	O
me	O
espiritualiza,	O
belo	O
dominó!	O
»	O
-	O
«	O
Belo,	O
me	O
chamas	O
tu	O
!!	O
É	O
realmente	O
uma	O
leviandade	O
que	O
te	O
não	O
faz	O
honra	O
!!	O
Se	O
eu	O
levantasse	O
esta	O
sanefa	O
de	O
seda,	O
que	O
me	O
faz	O
bonita,	O
ficavas	O
como	O
aquele	O
poeta	O
espanhol	O
que	O
soltou	O
uma	O
exclamação	O
de	O
terror	O
na	O
presença	O
de	O
um	O
nariz!	O
que	O
nariz	O
não	O
seria,	O
santo	O
Deus	B-PESSOA
!!	O
Não	O
sabes	O
essa	O
história	O
?	O
»	O
-	O
«Não,	O
meu	O
anjo	O
!	O
»	O
-	O
«	O
Meu	O
anjo	O
!!	O
Que	O
graça	O
!	O
Pois	O
eu	O
ta	O
conto.	O

Como	O
o	O
poeta	O
se	O
chama	O
não	O
sei,	O
nem	O
importa.	O
Imagina	O
tu	O
que	O
és	O
um	O
poeta,	O
fantástico	O
como	O
Lamartine	B-PESSOA
,	O
vulcânico	O
como	O
Byron	B-PESSOA
,	O
sonhador	O
como	O
MacPherson	B-PESSOA
e	O
voluptuoso	O
como	O
Voltaire	B-PESSOA
aos	O
60	B-VALOR
anos	I-VALOR
.	O
Imagina	O
que	O
o	O
tédio	O
desta	O
vida	O
chilra	O
que	O
se	O
vive	O
no	O
Porto	B-LOCAL
te	O
obrigou	O
a	O
deixar	O
no	O
teu	O
quarto	O
a	O
pitonissa	O
descabelada	O
das	O
tuas	O
inspirações,	O
e	O
vieste	O
por	O
aqui	O
dentro	O
a	O
procurar	O
um	O
passatempo	O
nestes	O
passatempos	O
alvares	O
de	O
um	O
baile	O
de	O
Carnaval	B-TEMPO
.	O
Imagina	O
que	O
encontravas	O
uma	O
mulher	O
extraordinária	O
de	O
espírito,	O
um	O
anjo	O
de	O
eloquência,	O
um	O
demónio	O
de	O
epigrama,	O
enfim,	O
uma	O
destas	O
criações	O
miraculosas	O
que	O
fazem	O
rebentar	O
uma	O
chama	O
improvisa	O
no	O
coração	O
mais	O
de	O
gelo,	O
e	O
de	O
lama,	O
e	O
de	O
toucinho	O
sem	O
nervo.	O
Ris	O
?	O
Achas	O
nova	O
a	O
expressão,	O
não	O
é	O
assim	O
?	O
Um	O
coração	O
de	O
toucinho	O
parece-te	O
uma	O
ofensa	O
ao	O
bom	O
senso	O
anatómico,	O
não	O
é	O
verdade	O
?	O
Pois,	O
meu	O
caro	O
dominó,	O
há	O
corações	O
de	O
toucinho	O
estreme.	O
São	O
os	O
corações,	O
que	O
resumam	O
óleo	O
em	O
certas	O
caras	O
estúpidas!	O
Por	O
exemplo!	O
Olha	O
este	O
homem	O
redondo,	O
que	O
aqui	O
está,	O
com	O
as	O
pálpebras	O
em	O
quatro	O
refegos,	O
com	O
os	O
olhos	O
vermelhos	O
como	O
os	O
de	O
um	O
coelho	O
morto,	O
com	O
o	O
queixo	O
inferior	O
pendente,	O
e	O
o	O
lábio	O
escarlate	O
e	O
vidrado	O
como	O
o	O
bordo	O
de	O
uma	O
pingadeira,	O
orvalhada	O
de	O
banha	O
de	O
porco!	O
Esta	O
cara	O
não	O
te	O
parece	O
um	O
grande	O
rijão	O
?	O
Não	O
crês	O
que	O
este	O
baboso	O
tenha	O
um	O
coração	O
de	O
toucinho	O
?	O
»	O
-	O
«	O
Creio,	O
creio	O
;	O
mas	O
fala	O
mais	O
baixo	O
que	O
o	O
desgraçado	O
está	O
gemer	O
debaixo	O
do	O
teu	O
escalpelo!	O
»	O
-	O
«	O
És	O
tolo,	O
meu	O
cavalheiro	O
!	O
Ele	O
entende	O
me	O
lá	O
!!	O
É	O
verdade,	O
aí	O
vai	O
a	O
história	O
do	O
espanhol,	O
que	O
tenho	O
que	O
fazer!	O
»	O
-	O
«	O
Então	O
queres	O
deixar-me	O
?	O
»	O
-	O
«	O
E	O
tu	O
?!	O
Queres	O
que	O
eu	O
te	O
deixe	O
?	O
»	O
-	O
«	O
Palavra	O
de	O
honra	O
que	O
não	O
!	O
Se	O
me	O
deixas,	O
retiro-me!	O
»	O
-	O
«	O
És	O
muito	O
amável,	O
meu	O
querido	O
Carlos	B-PESSOA
!	O
»	O
-	O
«	O
Conheces-me	O
?	O
!	O
»	O
-	O
«	O
Essa	O
pergunta	O
é	O
ociosa.	O

Não	O
és	O
tu	O
Carlos	B-PESSOA
!	O
»	O
-	O
«	O
Já	O
falaste	O
comigo	O
na	O
tua	O
voz	O
natural	O
?	O
»	O
-	O
«	O
Não	O
;	O
mas	O
começo	O
a	O
falar	O
agora.	O
»	O

(todos)	O
Ação/Aventura	B-COISA
Cinema	B-COISA
Brasileiro	I-COISA
Comédia	B-COISA
Desenho	B-COISA
Documentário	B-COISA
Drama	B-COISA
Ficção	B-COISA
Científica	I-COISA
Filme	B-COISA
de	I-COISA
Arte	I-COISA
Guerra	B-COISA
Infantil	B-COISA
Musical	B-COISA
Romance	B-COISA
Show/Espetáculo	B-COISA
Suspense	B-COISA
Terror	B-COISA
Western	B-COISA
título	O
diretor	O
ator/atriz	O
ano	O
País	B-LOCAL
Distribuidora	B-ORGANIZACAO
DVD	O
Pânico	B-OBRA
2	I-OBRA
PRÉ-VENDA	O
R$35,90	B-VALOR
MIB	B-OBRA
Homens	I-OBRA
de	I-OBRA
Preto	I-OBRA
-	O
Grátis	O
Camiseta	O
R$37,90	B-VALOR
DVD	O
O	B-OBRA
Exterminador	I-OBRA
do	I-OBRA
Futuro	I-OBRA
R$29,90	B-VALOR
DVD	O
News	O
Jimi	B-ABSTRACCAO
Hendrix	I-ABSTRACCAO
em	O
dose	O
dupla	O
por	O
Marina	B-PESSOA
Person	I-PESSOA
Os	O
títulos	O
musicais	O
sempre	O
são	O
os	O
prediletos	O
na	O
maioria	O
das	O
DVDtecas	B-ORGANIZACAO
.	O
Já	O
existem	O
aqui	O
no	O
Brasil	B-LOCAL
dois	O
títulos	O
particularmente	O
saborosos	O
pra	O
quem	O
curte	O
um	O
bom	O
rock	O
&	O
roll.	O
"	O
Jimi	B-OBRA
Hendrix:	I-OBRA
Live	I-OBRA
at	I-OBRA
Woodstock	I-OBRA
"	O
e	O
"	O
Band	B-OBRA
of	I-OBRA
Gypsys:	I-OBRA
Live	I-OBRA
at	I-OBRA
The	I-OBRA
Fillmore	I-OBRA
East	I-OBRA
"	O
.	O
O	O
primeiro	O
dispensa	O
apresentações,	O
afinal	O
se	O
trata	O
do	O
maior,	O
mais	O
famoso	O
e	O
mais	O
cultuado	O
festival	O
de	O
rock	O
de	O
todos	O
os	O
tempos.	O
Jimi	B-PESSOA
Hendrix	I-PESSOA
encerrou	O
Woodstock	B-ACONTECIMENTO
com	O
performances	O
mais	O
do	O
que	O
inspiradas	O
de	O
clássicos	O
como	O
Purple	B-OBRA
Haze	I-OBRA
,	O
Fire	B-OBRA
,	O
Voodoo	B-OBRA
Child	I-OBRA
,	O
e	O
a	O
sua	O
histórica	O
versão	O
do	O
hino	O
americano:	O
The	B-OBRA
Star	I-OBRA
Spangled	I-OBRA
Banner	I-OBRA
.	O
O	O
segundo	O
título,	O
Band	B-OBRA
of	I-OBRA
Gypsys	I-OBRA
,	O
é	O
um	O
documentário	O
que	O
procura	O
ir	O
além	O
do	O
mito	O
Jimi	B-ABSTRACCAO
Hendrix	I-ABSTRACCAO
.	O
Trinta	B-VALOR
anos	I-VALOR
depois	O
da	O
sua	O
morte,	O
ele	O
ainda	O
é	O
considerado	O
o	O
pai	O
de	O
todos	O
os	O
guitarristas.	O
O	O
documentário	O
inclui	O
entrevistas	O
com	O
músicos	O
de	O
hoje,	O
que	O
foram	O
influenciados	O
pelo	O
seu	O
estilo	O
e	O
originalidade.	O
Os	O
depoimentos	O
de	O
Lenny	B-PESSOA
Kravitz	I-PESSOA
,	O
Vernon	B-PESSOA
Reid	I-PESSOA
do	O
Living	B-PESSOA
Colour	I-PESSOA
e	O
Slash	B-PESSOA
do	O
Guns	B-PESSOA
'n	I-PESSOA
Roses	I-PESSOA
dão	O
a	O
dimensão	O
do	O
fenômeno	O
Hendrix	B-ABSTRACCAO
,	O
o	O
porquê	O
dele	O
ser	O
único,	O
incomparável.	O
Algumas	O
boas	O
histórias	O
também	O
são	O
contadas	O
pelo	O
engenheiro	O
de	O
som	O
Eddie	B-PESSOA
Kramer	I-PESSOA
,	O
e,	O
claro,	O
pelos	O
seus	O
companheiros	O
de	O
banda:	O
Buddy	B-PESSOA
Miles	I-PESSOA
e	O
Billy	B-PESSOA
Cox	I-PESSOA
,	O
respectivamente	O
o	O
baterista	O
e	O
baixista	O
da	O
Band	B-PESSOA
of	I-PESSOA
Gypsys	I-PESSOA
,	O
e	O
mais	O
os	O
parceiros	O
na	O
outra	O
banda,	O
Experience	B-PESSOA
,	O
Mitch	B-PESSOA
Mitchell	I-PESSOA
e	O
Noel	B-PESSOA
Redding	I-PESSOA
.	O
O	O
DVD	B-OBRA
|DVD	O
também	O
inclui	O
imagens	O
raras	O
e	O
inéditas	O
em	O
vídeo	O
ou	O
TV	O
e	O
fotos	O
do	O
histórico	O
show	O
em	O
Fillmore	B-LOCAL
East	I-LOCAL
.	O

Imperdível!	O
Leia	O
também	O
outras	O
matérias	O
assinadas	O
por	O
Marina	B-PESSOA
Person	I-PESSOA
:	O
Capital	O
Inicial	O
O	O
melhor	O
do	O
DVD	O
para	O
suas	O
férias	O
Tubarão	B-OBRA
em	O
DVD	O
Marina	B-PESSOA
Person	I-PESSOA
comenta	O
o	O
MTV	B-ACONTECIMENTO
Movie	I-ACONTECIMENTO
Awards	I-ACONTECIMENTO
DVD	O
Castelo	O
Rá-Tim-Bum:	O
repleto	O
de	O
extras	O
Boas	O
surpresas	O
DVDs	O
para	O
o	O
Dia	B-TEMPO
das	I-TEMPO
Mães	I-TEMPO
Marina	B-PESSOA
Person	I-PESSOA
é	O
colunista	O
do	O
site	O
Guia	B-LOCAL
DVD	I-LOCAL
e	O
VJ	B-PESSOA
da	I-PESSOA
MTV	I-PESSOA
.	O
Atualmente,	O
ela	O
apresenta	O
o	O
programa	O
Contato	B-LOCAL
MTV	I-LOCAL
,	O
produz	O
uma	O
coluna	O
na	O
revista	O
Isto	B-LOCAL
É	I-LOCAL
Gente	I-LOCAL
e	O
outra	O
-	O
sobre	O
cinema	O
-	O
para	O
o	O
site	O
da	O
MTV	B-LOCAL
.	O
Marina	B-PESSOA
dirigiu,	O
ao	O
lado	O
de	O
Jorge	B-PESSOA
Espírito-Santo	I-PESSOA
o	O
curta-metragem	O
"	O
Almoço	B-OBRA
Executivo	I-OBRA
",	O
que	O
recebeu	O
os	O
prêmios	O
de	O
melhor	O
direção	O
nos	O
Festivais	B-ACONTECIMENTO
de	I-ACONTECIMENTO
Gramado	I-ACONTECIMENTO
e	O
Riocine	B-ACONTECIMENTO
.	O
topo	O
[redação]	O
[fale	O
com]	O

Tuna	B-PESSOA
Académica	I-PESSOA
da	I-PESSOA
Universidade	I-PESSOA
Fernando	I-PESSOA
Pessoa	I-PESSOA
Tuna	B-PESSOA
Académica	I-PESSOA
da	I-PESSOA
Universidade	I-PESSOA
Fernando	I-PESSOA
Pessoa	I-PESSOA
A	O
tuna	O
Académica	B-PESSOA
da	I-PESSOA
Universiade	I-PESSOA
Fernando	I-PESSOA
Pessoa	I-PESSOA
,	O
da	O
cidade	O
do	O
Porto	B-LOCAL
,	O
foi	O
criada	O
em	O
12	B-TEMPO
de	I-TEMPO
Outubro	I-TEMPO
do	O
ano	O
da	O
Graça	O
de	O
1994	B-TEMPO
,	O
surgindo	O
devido	O
aos	O
pedidos	O
de	O
muitas	O
famílias	O
(...)	O
-	O
a	O
Tuna	B-PESSOA
da	I-PESSOA
UFP	I-PESSOA
,	O
constituida	O
por	O
cerca	B-VALOR
de	I-VALOR
40	I-VALOR
elementos	O
e	O
apadrinhada	O
pela	O
magnífica	O
Tuna	B-PESSOA
Universitária	I-PESSOA
do	I-PESSOA
Minho	I-PESSOA
,	O
segundo	O
Zebedeu	B-PESSOA
(filho	O
de	O
Jacob	B-PESSOA
,	O
irmão	O
do	O
João	B-PESSOA
e	O
primo	O
do	O
Serafim	B-PESSOA
)	O
no	O
capítulo	O
4º	B-VALOR
,	O
versículo	O
234º	B-VALOR
,	O
alínea	O
k),	O
já	O
com	O
um	O
vasto	O
número	O
de	O
actuações	O
por	O
tudo	O
o	O
país,	O
apesar	O
da	O
sua	O
curta	O
existência,	O
veio	O
culmatar	O
uma	O
lacuna,	O
muito	O
importante,	O
existente	O
no	O
seio	O
da	O
vida	O
tunante	O
portuguesa.	O
Não	O
conseguimos,	O
no	O
entanto,	O
discernir	O
até	O
ao	O
momento,	O
qual	O
a	O
lacuna	O
preenchida.	O
Os	O
tunos	O
da	O
UFP	B-PESSOA
demostrando,	O
desde	O
cedo,	O
a	O
sua	O
força	O
espiritual	O
e	O
o	O
seu	O
caractér	O
determinado,	O
têm	O
como	O
principal	O
preocupação	O
o	O
desenvolvimento	O
económico	O
das	O
cooperativas	O
vinículas	O
portuguesas;	O
o	O
"aproveitamento"	O
das	O
belezas	O
naturais	O
femininas	O
e	O
também	O
a	O
divulgação	O
da	O
música	O
portuguesa	O
pelos	O
49	B-VALOR
cantos	O
do	O
mundo(...).	O
Tendo	O
em	O
conta	O
a	O
sua	O
curta	O
existência,	O
o	O
número	O
de	O
actuações	O
realizadas	O
é	O
já	O
bastante	O
significativo.	O
Aliás,	O
já	O
participaram	O
em	O
algumas	O
actividades	O
de	O
relevo,	O
das	O
quais	O
podemos	O
salientar	O
o	O
II	B-ACONTECIMENTO
FITISEP	I-ACONTECIMENTO
e	O
o	O
Festival	B-ACONTECIMENTO
de	I-ACONTECIMENTO
Solidariedade	I-ACONTECIMENTO
do	I-ACONTECIMENTO
"ABRAÇO"	I-ACONTECIMENTO
,	O
ambos	O
realizados	O
no	O
Coliseu	B-LOCAL
do	I-LOCAL
Porto	I-LOCAL
.	O
Quanto	O
aos	O
prémios	O
que	O
normalmente	O
recebem,	O
só	O
se	O
devem	O
aos	O
"codfich"	O
(não	O
sabemos	O
traduzir)	O
e	O
presuntos	O
oferecidos	O
ao	O
júri.	O
Antes	O
do	O
fecho	O
desta	O
edição,	O
a	O
Tuna	B-PESSOA
Académica	I-PESSOA
encontrava-se	O
em	O
mais	O
um	O
estágio,	O
desta	O
feita	O
para	O
o	O
lançamento	O
da	O
sua	O
primeira	O
cassete	O
comercial	O
(e	O
consequente	O
realização	O
do	O
video-clip	O
para	O
esse	O
grande	O
veículo	O
e	O
instrumento	O
de	O
cultura,	O
que	O
dá	O
pelo	O
nome	O
de	O
"	O
Made	B-LOCAL
In	I-LOCAL
Portugal	I-LOCAL
")	O
estando	O
ainda	O
em	O
recuperação	O
do	O
último	O
em	O
Alfandega	B-LOCAL
da	I-LOCAL
Fé	I-LOCAL
que	O
se	O
realizou	O
em	O
meados	O
do	O
século	O
(no	O
mês	O
de	O
Junho	B-TEMPO
).	O

In	O
"TIME",	B-OBRA
nº109,	I-OBRA
Ano	I-OBRA
34,	I-OBRA
pp	I-OBRA
257	I-OBRA
a	I-OBRA
303	I-OBRA
Tradução	O
de	O
Vay	B-PESSOA
Bus-Cála	I-PESSOA

Esta	O
atitude	O
poderá	O
ser	O
explicada	O
pelas	O
declarações	O
do	O
ministro	O
da	O
Indústria	B-ABSTRACCAO
e	I-ABSTRACCAO
Energia	I-ABSTRACCAO
,	O
Mira	B-PESSOA
Amaral	I-PESSOA
,	O
que	O
também	O
compareceu	O
à	O
conferência	O
de	O
imprensa,	O
já	O
na	O
fase	O
dos	O
«cocktails»:	O
«A	O
VW	B-ORGANIZACAO
ainda	O
não	O
tomou	O
qualquer	O
decisão,	O
porque	O
estão	O
a	O
analisar	O
as	O
várias	O
hipóteses.	O
Mas,	O
para	O
já	O
ainda	O
nem	O
sequer	O
é	O
certo	O
que	O
vá	O
ser	O
construída	O
uma	O
nova	O
fábrica,	O
por	O
isso	O
não	O
se	O
pode	O
falar	O
no	O
projecto	O
VW	B-OBRA
para	O
Portugal	B-LOCAL
.»	O
Mira	B-PESSOA
Amaral	I-PESSOA
confirmou,	O
no	O
entanto,	O
que	O
Portugal	B-LOCAL
é	O
uma	O
das	O
possibilidades	O
que	O
estão	O
a	O
ser	O
estudadas	O
pelos	O
alemães,	O
tendo-lhe	O
sido	O
colocadas	O
várias	O
perguntas	O
sobre	O
as	O
condições	O
de	O
investimento,	O
quando	O
da	O
recente	O
visita	O
a	O
uma	O
das	O
fábricas	O
da	O
VW	B-ORGANIZACAO
,	O
na	O
Alemanha	B-LOCAL
.	O
Para	O
o	O
ministro,	O
a	O
decisão	O
deverá	O
ser	O
tomada	O
em	O
meados	O
de	O
1993	B-TEMPO
e,	O
se	O
a	O
escolha	O
recair	O
sobre	O
Portugal	B-LOCAL
,	O
essa	O
será	O
«uma	O
boa	O
altura»	O
em	O
termos	O
de	O
incentivos.	O
«Em	O
1993	B-TEMPO
já	O
estarão	O
esgotadas	O
as	O
verbas	O
do	O
actual	O
Quadro	B-OBRA
Comunitário	I-OBRA
de	I-OBRA
Apoio	I-OBRA
[	O
QCA	B-OBRA
]	O
e	O
ainda	O
não	O
estarão	O
disponíveis	O
as	O
do	O
QCA	B-OBRA
de	I-OBRA
1994	I-OBRA
.	O
Mas,	O
é	O
perfeitamente	O
possível	O
montarmos	O
um	O
esquema	O
de	O
engenharia	O
financeira	O
que	O
permita	O
apoiar	O
um	O
projecto	O
desse	O
tipo,	O
que	O
seria	O
compensado	O
com	O
fundos	O
comunitários	O
do	O
ano	O
seguinte.»	O

Climepsi	B-ORGANIZACAO
Editores	I-ORGANIZACAO
Autor	O
Descritor	O
A	O
CLIMEPSI	B-ORGANIZACAO
Editores	I-ORGANIZACAO
éuma	O
editora	O
especializada	O
que	O
ocupa	O
um	O
lugar	O
cimeiro	O
num	O
espaço	O
lusófono	O
vocacionado	O
para	O
as	O
áreas	O
das	O
ciências	O
e	O
técnica.	O
Assume	O
uma	O
posição	O
junto	O
dos	O
leitores,	O
na	O
sua	O
maioria	O
técnicos,	O
estudantes	O
das	O
áreas	O
de	O
Saúde	B-ABSTRACCAO
,	O
Psicologia	B-ABSTRACCAO
e	O
Medicina	B-ABSTRACCAO
e	O
Enfermagem	B-ABSTRACCAO
integradas	O
na	O
grande	O
área	O
das	O
Ciências	B-ABSTRACCAO
da	I-ABSTRACCAO
Saúde	I-ABSTRACCAO
,	O
de	O
suporte	O
em	O
termos	O
de	O
informação	O
especializada,	O
de	O
formação	O
e	O
de	O
desenvolvimento	O
nas	O
respectivas	O
áreas.	O
A	O
actividade	O
editorial	O
desenvolvida	O
contribui,	O
de	O
forma	O
significativa,	O
para	O
a	O
veiculação	O
da	O
comunicação	O
de	O
teor	O
técnico	O
e	O
científico	O
em	O
língua	O
portuguesa.	O
Até	O
ao	O
presente	O
momento,	O
estão	O
editados	O
cerca	O
de	O
sessenta	O
títulos	O
traduzidos	O
e	O
alguns	O
títulos	O
de	O
autores	O
portugueses.	O
A	O
linha	O
editorial	O
está	O
marcadamente	O
direccionada	O
para	O
o	O
preenchimento	O
de	O
lacunas	O
e	O
a	O
satisfação	O
das	O
necessidades	O
mais	O
prementes	O
sentidas	O
a	O
nível	O
científico	O
e	O
técnico	O
e	O
para	O
o	O
acompanhamento	O
dos	O
curricula	O
universitários,	O
sobretudo	O
através	O
da	O
colecção	O
«	O
Manuais	B-OBRA
Universitários	I-OBRA
».	O
Sedeada	O
em	O
Lisboa	B-LOCAL
e	O
alicerçada	O
numa	O
aposta	O
séria	O
no	O
aumento	O
e	O
difusão	O
da	O
produção	O
técnica	O
com	O
qualidade	O
e	O
rigor	O
em	O
língua	O
portuguesa,	O
Climepsi	B-ORGANIZACAO
Editores	I-ORGANIZACAO
desenvolve	O
a	O
sua	O
actividade	O
editorial	O
desde	O
Outubro	B-TEMPO
de	I-TEMPO
1996	I-TEMPO
.	O
Se	O
desejar	O
mais	O
informações	O
sobre	O
a	O
editora	O
e	O
a	O
sua	O
actividade,	O
contacte-nos	O
através	O
dos	O
endereços:	O
Rua	B-LOCAL
Pinheiro	I-LOCAL
Chagas	I-LOCAL
,	O
38,	O
1.º	O
Esq.,	O
1150-179	O
LISBOA	B-LOCAL
,	O
PORTUGAL	B-LOCAL
Linha	O
directa	O
do	O
leitor	O
+351	O
213174711	O
Fax	O
+351	O
213528574	O
informações	O
várias:	O
info@climepsi.pt	O
vendas:	O
vendas@climepsi.pt	O
departamento	O
editorial:	O
editorial@climepsi.pt	O
internet:	O
webmaster@climepsi.pt	O
[home]	O
[novidades]	O
[próximas	O
edições]	O
[catálogo]	O
[promoções]	O
[apresentação	O
da	O
editora]	O
[comentários]	O
[contacte-nos]	O
[links]	O
[eventos]	O

Projeto	O
Memórias	B-OBRA
do	I-OBRA
Comércio	I-OBRA
II	I-OBRA
-	O
