
====== FOLD 0 ======
- NOME_BEBIDA: Precision=0.972, Recall=0.986, F1=0.979
====== FOLD 3 ======
- NOME_BEBIDA: Precision=0.963, Recall=0.983, F1=0.973
- GRADUACAO_ALCOOLICA: Precision=0.990, Recall=0.980, F1=0.985
- EQUIPAMENTO_DESTILACAO: Precision=0.955, Recall=0.875, F1=0.913
- TEMPO_ARMAZENAMENTO: Precision=0.991, Recall=0.973, F1=0.982
- RECIPIENTE_ARMAZENAMENTO: Precision=0.984, Recall=0.926, F1=0.955
- TIPO_MADEIRA: Precision=0.984, Recall=0.978, F1=0.981
- CARACTERISTICA_SENSORIAL_COR: Precision=0.944, Recall=0.971, F1=0.958
- CARACTERISTICA_SENSORIAL_AROMA: Precision=0.850, Recall=0.810, F1=0.829
- CARACTERISTICA_SENSORIAL_SABOR: Precision=0.786, Recall=0.880, F1=0.830
- CARACTERISTICA_SENSORIAL_CONSISTÊNCIA: Precision=0.947, Recall=0.818, F1=0.878
- NOME_PESSOA: Precision=0.982, Recall=0.887, F1=0.932
- NOME_LOCAL: Precision=0.991, Recall=0.966, F1=0.979
- NOME_ORGANIZACAO: Precision=0.932, Recall=0.872, F1=0.901
- TEMPO: Precision=0.991, Recall=0.964, F1=0.977
- PRECO: Precision=0.956, Recall=1.000, F1=0.978
- VOLUME: Precision=0.988, Recall=0.980, F1=0.984
- CLASSIFICACAO_BEBIDA: Precision=0.940, Recall=0.895, F1=0.917

Macro Avg: Precision=0.951, Recall=0.927, F1=0.938
Micro Avg: Precision=0.967, Recall=0.954, F1=0.960
==================================================
