,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento,Particao,Identificacao_Treino_Teste
78,Produtor,O,139,0,8,12,1,treino
79,:,O,139,8,9,12,1,treino
80,Fazenda,B-NOME_ORGANIZACAO,139,10,17,12,1,treino
81,do,I-NOME_ORGANIZACAO,139,18,20,12,1,treino
82,Cantagalo,I-NOME_ORGANIZACAO,139,21,30,12,1,treino
83,Local,O,140,0,5,12,1,treino
84,de,O,140,6,8,12,1,treino
85,Produção,O,140,9,17,12,1,treino
86,:,O,140,17,18,12,1,treino
87,Pedras,B-NOME_LOCAL,140,19,25,12,1,treino
88,de,I-NOME_LOCAL,140,26,28,12,1,treino
89,Maria,I-NOME_LOCAL,140,29,34,12,1,treino
90,da,I-NOME_LOCAL,140,35,37,12,1,treino
91,Cruz,I-NOME_LOCAL,140,38,42,12,1,treino
92,/,O,140,43,44,12,1,treino
93,Minas,B-NOME_LOCAL,140,45,50,12,1,treino
94,Gerais,I-NOME_LOCAL,140,51,57,12,1,treino
95,NOME,O,157,0,4,15,1,treino
96,DA,O,157,5,7,15,1,treino
97,CACHAÇA,O,157,8,15,15,1,treino
98,:,O,157,15,16,15,1,treino
99,Gouveia,B-NOME_BEBIDA,157,17,24,15,1,treino
100,Brasil,I-NOME_BEBIDA,157,25,31,15,1,treino
101,MEI,I-NOME_BEBIDA,157,32,35,15,1,treino
102,-,O,157,36,37,15,1,treino
103,Cachaça,O,157,38,45,15,1,treino
104,Limao,O,157,46,51,15,1,treino
105,e,O,157,52,53,15,1,treino
106,Mel,O,157,54,57,15,1,treino
107,PREÇO,O,158,0,5,15,1,treino
108,:,O,158,5,6,15,1,treino
109,R$,B-PRECO,158,7,9,15,1,treino
110,79,I-PRECO,158,10,12,15,1,treino
111,",",I-PRECO,158,12,13,15,1,treino
112,90,I-PRECO,158,13,15,15,1,treino
113,DESCRIÇÃO,O,159,0,9,15,1,treino
114,DA,O,159,10,12,15,1,treino
115,CACHAÇA,O,159,13,20,15,1,treino
116,:,O,159,20,21,15,1,treino
117,Licor,O,159,22,27,15,1,treino
118,Gouveia,B-NOME_BEBIDA,159,28,35,15,1,treino
119,Brasil,I-NOME_BEBIDA,159,36,42,15,1,treino
120,Mel,I-NOME_BEBIDA,159,43,46,15,1,treino
121,e,I-NOME_BEBIDA,159,47,48,15,1,treino
122,Limão,I-NOME_BEBIDA,159,49,54,15,1,treino
123,375ml,B-VOLUME,159,55,60,15,1,treino
124,.,O,159,60,61,15,1,treino
125,Bebida,O,160,0,6,15,1,treino
126,jovem,O,160,7,12,15,1,treino
127,",",O,160,12,13,15,1,treino
128,leve,O,160,14,18,15,1,treino
129,e,O,160,19,20,15,1,treino
130,elegante,O,160,21,29,15,1,treino
131,",",O,160,29,30,15,1,treino
132,a,O,160,31,32,15,1,treino
133,MEi,B-NOME_BEBIDA,160,33,36,15,1,treino
134,representa,O,160,37,47,15,1,treino
135,a,O,160,48,49,15,1,treino
136,mistura,O,160,50,57,15,1,treino
137,bem,O,160,58,61,15,1,treino
138,calibrada,O,160,62,71,15,1,treino
139,de,O,160,72,74,15,1,treino
140,uma,O,160,75,78,15,1,treino
141,cachaça,O,160,79,86,15,1,treino
142,extremamente,O,160,87,99,15,1,treino
143,pura,O,160,100,104,15,1,treino
144,",",O,160,104,105,15,1,treino
145,com,O,160,106,109,15,1,treino
146,dupla,O,160,110,115,15,1,treino
147,destilação,O,160,116,126,15,1,treino
148,",",O,160,126,127,15,1,treino
149,misturada,O,160,128,137,15,1,treino
150,às,O,160,138,140,15,1,treino
151,cores,O,160,141,146,15,1,treino
152,e,O,160,147,148,15,1,treino
153,sabores,O,160,149,156,15,1,treino
154,da,O,160,157,159,15,1,treino
155,terra,O,160,160,165,15,1,treino
156,",",O,160,165,166,15,1,treino
157,com,O,160,167,170,15,1,treino
158,o,O,160,171,172,15,1,treino
159,esmero,O,160,173,179,15,1,treino
160,que,O,160,180,183,15,1,treino
161,caracteriza,O,160,184,195,15,1,treino
162,as,O,160,196,198,15,1,treino
163,bebidas,O,160,199,206,15,1,treino
164,do,O,160,207,209,15,1,treino
165,Grupo,B-NOME_ORGANIZACAO,160,210,215,15,1,treino
166,Gouveia,I-NOME_ORGANIZACAO,160,216,223,15,1,treino
167,Brasil,I-NOME_ORGANIZACAO,160,224,230,15,1,treino
168,.,O,160,230,231,15,1,treino
169,Disponível,O,161,0,10,15,1,treino
170,nas,O,161,11,14,15,1,treino
171,versões,O,161,15,22,15,1,treino
172,mel,O,161,23,26,15,1,treino
173,e,O,161,27,28,15,1,treino
174,limão,O,161,29,34,15,1,treino
175,e,O,161,35,36,15,1,treino
176,jabuticaba,O,161,37,47,15,1,treino
177,",",O,161,47,48,15,1,treino
178,a,O,161,49,50,15,1,treino
179,MEi,B-NOME_BEBIDA,161,51,54,15,1,treino
180,nasce,O,161,55,60,15,1,treino
181,com,O,161,61,64,15,1,treino
182,um,O,161,65,67,15,1,treino
183,discurso,O,161,68,76,15,1,treino
184,contemporâneo,O,161,77,90,15,1,treino
185,",",O,161,90,91,15,1,treino
186,alinhado,O,161,92,100,15,1,treino
187,e,O,161,101,102,15,1,treino
188,pautado,O,161,103,110,15,1,treino
189,na,O,161,111,113,15,1,treino
190,criatividade,O,161,114,126,15,1,treino
191,",",O,161,126,127,15,1,treino
192,alegria,O,161,128,135,15,1,treino
193,e,O,161,136,137,15,1,treino
194,responsabilidade,O,161,138,154,15,1,treino
195,social,O,161,155,161,15,1,treino
196,.,O,161,161,162,15,1,treino
197,Ideal,O,162,0,5,15,1,treino
198,para,O,162,6,10,15,1,treino
199,o,O,162,11,12,15,1,treino
200,consumo,O,162,13,20,15,1,treino
201,em,O,162,21,23,15,1,treino
202,festas,O,162,24,30,15,1,treino
203,",",O,162,30,31,15,1,treino
204,baladas,O,162,32,39,15,1,treino
205,e,O,162,40,41,15,1,treino
206,house,O,162,42,47,15,1,treino
207,parties,O,162,48,55,15,1,treino
208,",",O,162,55,56,15,1,treino
209,servida,O,162,57,64,15,1,treino
210,sempre,O,162,65,71,15,1,treino
211,bem,O,162,72,75,15,1,treino
212,gelada,O,162,76,82,15,1,treino
213,",",O,162,82,83,15,1,treino
214,a,O,162,84,85,15,1,treino
215,MEi,B-NOME_BEBIDA,162,86,89,15,1,treino
216,também,O,162,90,96,15,1,treino
217,pode,O,162,97,101,15,1,treino
218,integrar,O,162,102,110,15,1,treino
219,coquetéis,O,162,111,120,15,1,treino
220,elaborados,O,162,121,131,15,1,treino
221,e,O,162,132,133,15,1,treino
222,caipirinhas,O,162,134,145,15,1,treino
223,.,O,162,145,146,15,1,treino
224,Com,O,163,0,3,15,1,treino
225,teor,O,163,4,8,15,1,treino
226,alcoólico,O,163,9,18,15,1,treino
227,de,O,163,19,21,15,1,treino
228,18%,B-GRADUACAO_ALCOOLICA,163,22,25,15,1,treino
229,",",O,163,25,26,15,1,treino
230,a,O,163,27,28,15,1,treino
231,bebida,O,163,29,35,15,1,treino
232,conquista,O,163,36,45,15,1,treino
233,facilmente,O,163,46,56,15,1,treino
234,o,O,163,57,58,15,1,treino
235,paladar,O,163,59,66,15,1,treino
236,feminino,O,163,67,75,15,1,treino
237,e,O,163,76,77,15,1,treino
238,também,O,163,78,84,15,1,treino
239,se,O,163,85,87,15,1,treino
240,adequa,O,163,88,94,15,1,treino
241,perfeitamente,O,163,95,108,15,1,treino
242,às,O,163,109,111,15,1,treino
243,harmonizações,O,163,112,125,15,1,treino
244,com,O,163,126,129,15,1,treino
245,sobremesas,O,163,130,140,15,1,treino
246,",",O,163,140,141,15,1,treino
247,dividindo,O,163,142,151,15,1,treino
248,espaço,O,163,152,158,15,1,treino
249,com,O,163,159,162,15,1,treino
250,licores,O,163,163,170,15,1,treino
251,e,O,163,171,172,15,1,treino
252,vinhos,O,163,173,179,15,1,treino
253,fortificados,O,163,180,192,15,1,treino
254,.,O,163,192,193,15,1,treino
255,Beba,O,164,0,4,15,1,treino
256,com,O,164,5,8,15,1,treino
257,responsabilidade,O,164,9,25,15,1,treino
258,!,O,164,25,26,15,1,treino
259,Sonhe,O,165,0,5,15,1,treino
260,sem,O,165,6,9,15,1,treino
261,moderação,O,165,10,19,15,1,treino
262,!,O,165,19,20,15,1,treino
263,Sirva,O,166,0,5,15,1,treino
264,bem,O,166,6,9,15,1,treino
265,gelada,O,166,10,16,15,1,treino
266,Volume,O,167,0,6,15,1,treino
267,:,O,167,6,7,15,1,treino
268,375,B-VOLUME,167,8,11,15,1,treino
269,ml,I-VOLUME,167,12,14,15,1,treino
270,NOME,O,212,0,4,21,1,treino
271,DA,O,212,5,7,21,1,treino
272,CACHAÇA,O,212,8,15,21,1,treino
273,:,O,212,15,16,21,1,treino
274,Cachaça,O,212,17,24,21,1,treino
275,Taverna,B-NOME_BEBIDA,212,25,32,21,1,treino
276,de,I-NOME_BEBIDA,212,33,35,21,1,treino
277,Minas,I-NOME_BEBIDA,212,36,41,21,1,treino
278,Jequitibá,B-TIPO_MADEIRA,212,42,51,21,1,treino
279,PREÇO,O,213,0,5,21,1,treino
280,:,O,213,5,6,21,1,treino
281,R$,B-PRECO,213,7,9,21,1,treino
282,69,I-PRECO,213,10,12,21,1,treino
283,",",I-PRECO,213,12,13,21,1,treino
284,0,I-PRECO,213,13,15,21,1,treino
285,DESCRIÇÃO,O,214,0,9,21,1,treino
286,DA,O,214,10,12,21,1,treino
287,CACHAÇA,O,214,13,20,21,1,treino
288,:,O,214,20,21,21,1,treino
289,Cachaça,O,214,22,29,21,1,treino
290,Taverna,B-NOME_BEBIDA,214,30,37,21,1,treino
291,de,I-NOME_BEBIDA,214,38,40,21,1,treino
292,Minas,I-NOME_BEBIDA,214,41,46,21,1,treino
293,Jequitibá,B-TIPO_MADEIRA,214,47,56,21,1,treino
294,750ml,B-VOLUME,214,57,62,21,1,treino
295,Volume,O,215,0,6,21,1,treino
296,:,O,215,6,7,21,1,treino
297,750ml,B-VOLUME,215,8,13,21,1,treino
298,Graduação,O,216,0,9,21,1,treino
299,Alcoólica,O,216,10,19,21,1,treino
300,:,O,216,19,20,21,1,treino
301,39%,B-GRADUACAO_ALCOOLICA,216,21,24,21,1,treino
302,RECIPIENTE,O,217,0,10,21,1,treino
303,DE,O,217,11,13,21,1,treino
304,ARMAZENAMENTO,O,217,14,27,21,1,treino
305,:,O,217,27,28,21,1,treino
306,Tipo,O,217,29,33,21,1,treino
307,Barril,O,217,34,40,21,1,treino
308,:,O,217,40,41,21,1,treino
309,1,B-TEMPO_ARMAZENAMENTO,217,42,43,21,1,treino
310,Ano,I-TEMPO_ARMAZENAMENTO,217,44,47,21,1,treino
311,no,O,217,48,50,21,1,treino
312,Jequitibá,B-TIPO_MADEIRA,217,51,60,21,1,treino
313,Tipo,O,218,0,4,21,1,treino
314,:,O,218,4,5,21,1,treino
315,Armazenada,O,218,6,16,21,1,treino
316,Produtor,O,219,0,8,21,1,treino
317,:,O,219,8,9,21,1,treino
318,Taverna,B-NOME_ORGANIZACAO,219,10,17,21,1,treino
319,de,I-NOME_ORGANIZACAO,219,18,20,21,1,treino
320,Minas,I-NOME_ORGANIZACAO,219,21,26,21,1,treino
321,Local,O,220,0,5,21,1,treino
322,de,O,220,6,8,21,1,treino
323,Produção,O,220,9,17,21,1,treino
324,:,O,220,17,18,21,1,treino
325,Itaverava,B-NOME_LOCAL,220,19,28,21,1,treino
326,/,O,220,29,30,21,1,treino
327,Minas,B-NOME_LOCAL,220,31,36,21,1,treino
328,Gerais,I-NOME_LOCAL,220,37,43,21,1,treino
329,NOME,O,417,0,4,44,1,treino
330,DA,O,417,5,7,44,1,treino
331,CACHAÇA,O,417,8,15,44,1,treino
332,:,O,417,15,16,44,1,treino
333,Cachaça,O,417,17,24,44,1,treino
334,Theodoro,B-NOME_BEBIDA,417,25,33,44,1,treino
335,Carvalho,B-TIPO_MADEIRA,417,34,42,44,1,treino
336,Extra,B-CLASSIFICACAO_BEBIDA,417,43,48,44,1,treino
337,Premium,I-CLASSIFICACAO_BEBIDA,417,49,56,44,1,treino
338,PREÇO,O,418,0,5,44,1,treino
339,:,O,418,5,6,44,1,treino
340,R$,B-PRECO,418,7,9,44,1,treino
341,37,I-PRECO,418,10,12,44,1,treino
342,",",I-PRECO,418,12,13,44,1,treino
343,0,I-PRECO,418,13,15,44,1,treino
344,DESCRIÇÃO,O,419,0,9,44,1,treino
345,DA,O,419,10,12,44,1,treino
346,CACHAÇA,O,419,13,20,44,1,treino
347,:,O,419,20,21,44,1,treino
348,Cachaça,O,419,22,29,44,1,treino
349,Theodoro,B-NOME_BEBIDA,419,30,38,44,1,treino
350,Carvalho,B-TIPO_MADEIRA,419,39,47,44,1,treino
351,Extra,B-CLASSIFICACAO_BEBIDA,419,48,53,44,1,treino
352,Premium,I-CLASSIFICACAO_BEBIDA,419,54,61,44,1,treino
353,Envelhecida,O,419,62,73,44,1,treino
354,em,O,419,74,76,44,1,treino
355,barris,B-RECIPIENTE_ARMAZENAMENTO,419,77,83,44,1,treino
356,de,O,419,84,86,44,1,treino
357,carvalho,B-TIPO_MADEIRA,419,87,95,44,1,treino
358,europeu,I-TIPO_MADEIRA,419,96,103,44,1,treino
359,.,O,419,103,104,44,1,treino
360,Volume,O,420,0,6,44,1,treino
361,:,O,420,6,7,44,1,treino
362,670ml,B-VOLUME,420,8,13,44,1,treino
363,Graduação,O,421,0,9,44,1,treino
364,Alcoólica,O,421,10,19,44,1,treino
365,:,O,421,19,20,44,1,treino
366,42%,B-GRADUACAO_ALCOOLICA,421,21,24,44,1,treino
367,RECIPIENTE,O,422,0,10,44,1,treino
368,DE,O,422,11,13,44,1,treino
369,ARMAZENAMENTO,O,422,14,27,44,1,treino
370,:,O,422,27,28,44,1,treino
371,Tipo,O,422,29,33,44,1,treino
372,Barril,O,422,34,40,44,1,treino
373,:,O,422,40,41,44,1,treino
374,Carvalho,B-TIPO_MADEIRA,422,42,50,44,1,treino
375,Europeu,I-TIPO_MADEIRA,422,51,58,44,1,treino
376,Produtor,O,423,0,8,44,1,treino
377,:,O,423,8,9,44,1,treino
378,Fazenda,B-NOME_ORGANIZACAO,423,10,17,44,1,treino
379,Amábile,I-NOME_ORGANIZACAO,423,18,25,44,1,treino
380,Local,O,424,0,5,44,1,treino
381,de,O,424,6,8,44,1,treino
382,Produção,O,424,9,17,44,1,treino
383,:,O,424,17,18,44,1,treino
384,Serra,B-NOME_LOCAL,424,19,24,44,1,treino
385,Negra,I-NOME_LOCAL,424,25,30,44,1,treino
386,/,O,424,31,32,44,1,treino
387,São,B-NOME_LOCAL,424,33,36,44,1,treino
388,Paulo,I-NOME_LOCAL,424,37,42,44,1,treino
389,NOME,O,450,0,4,48,1,treino
390,DA,O,450,5,7,48,1,treino
391,CACHAÇA,O,450,8,15,48,1,treino
392,:,O,450,15,16,48,1,treino
393,Cachaça,O,450,17,24,48,1,treino
394,Weber,B-NOME_BEBIDA,450,25,30,48,1,treino
395,Haus,I-NOME_BEBIDA,450,31,35,48,1,treino
396,Extra,B-CLASSIFICACAO_BEBIDA,450,36,41,48,1,treino
397,Premium,I-CLASSIFICACAO_BEBIDA,450,42,49,48,1,treino
398,6,B-TEMPO_ARMAZENAMENTO,450,50,51,48,1,treino
399,anos,I-TEMPO_ARMAZENAMENTO,450,52,56,48,1,treino
400,PREÇO,O,451,0,5,48,1,treino
401,:,O,451,5,6,48,1,treino
402,R$,B-PRECO,451,7,9,48,1,treino
403,35,I-PRECO,451,10,12,48,1,treino
404,",",I-PRECO,451,12,13,48,1,treino
405,0,I-PRECO,451,13,15,48,1,treino
406,DESCRIÇÃO,O,452,0,9,48,1,treino
407,DA,O,452,10,12,48,1,treino
408,CACHAÇA,O,452,13,20,48,1,treino
409,:,O,452,20,21,48,1,treino
410,Envelhecido,O,452,22,33,48,1,treino
411,5,B-TEMPO_ARMAZENAMENTO,452,34,35,48,1,treino
412,anos,I-TEMPO_ARMAZENAMENTO,452,36,40,48,1,treino
413,barris,B-RECIPIENTE_ARMAZENAMENTO,452,41,47,48,1,treino
414,carvalho,B-TIPO_MADEIRA,452,48,56,48,1,treino
415,francês,I-TIPO_MADEIRA,452,57,64,48,1,treino
416,e,O,452,65,66,48,1,treino
417,1,B-TEMPO_ARMAZENAMENTO,452,67,68,48,1,treino
418,ano,I-TEMPO_ARMAZENAMENTO,452,69,72,48,1,treino
419,em,O,452,73,75,48,1,treino
420,barris,B-RECIPIENTE_ARMAZENAMENTO,452,76,82,48,1,treino
421,de,O,452,83,85,48,1,treino
422,balsamo,B-TIPO_MADEIRA,452,86,93,48,1,treino
423,Volume,O,453,0,6,48,1,treino
424,:,O,453,6,7,48,1,treino
425,160ml,B-VOLUME,453,8,13,48,1,treino
426,Graduação,O,454,0,9,48,1,treino
427,Alcoólica,O,454,10,19,48,1,treino
428,:,O,454,19,20,48,1,treino
429,38%,B-GRADUACAO_ALCOOLICA,454,21,24,48,1,treino
430,RECIPIENTE,O,455,0,10,48,1,treino
431,DE,O,455,11,13,48,1,treino
432,ARMAZENAMENTO,O,455,14,27,48,1,treino
433,:,O,455,27,28,48,1,treino
434,Tipo,O,455,29,33,48,1,treino
435,Barril,O,455,34,40,48,1,treino
436,:,O,455,40,41,48,1,treino
437,Carvalho,B-TIPO_MADEIRA,455,42,50,48,1,treino
438,Francês,I-TIPO_MADEIRA,455,51,58,48,1,treino
439,e,O,455,59,60,48,1,treino
440,Bálsamo,B-TIPO_MADEIRA,455,61,68,48,1,treino
441,Tipo,O,456,0,4,48,1,treino
442,:,O,456,4,5,48,1,treino
443,Envelhecida,O,456,6,17,48,1,treino
444,Produtor,O,457,0,8,48,1,treino
445,:,O,457,8,9,48,1,treino
446,Destilaria,B-NOME_ORGANIZACAO,457,10,20,48,1,treino
447,Weber,I-NOME_ORGANIZACAO,457,21,26,48,1,treino
448,Haus,I-NOME_ORGANIZACAO,457,27,31,48,1,treino
449,Local,O,458,0,5,48,1,treino
450,de,O,458,6,8,48,1,treino
451,Produção,O,458,9,17,48,1,treino
452,:,O,458,17,18,48,1,treino
453,Ivotí,B-NOME_LOCAL,458,19,24,48,1,treino
454,/,O,458,25,26,48,1,treino
455,Rio,B-NOME_LOCAL,458,27,30,48,1,treino
456,Grande,I-NOME_LOCAL,458,31,37,48,1,treino
457,do,I-NOME_LOCAL,458,38,40,48,1,treino
458,Sul,I-NOME_LOCAL,458,41,44,48,1,treino
459,NOME,O,591,0,4,61,1,treino
460,DA,O,591,5,7,61,1,treino
461,CACHAÇA,O,591,8,15,61,1,treino
462,:,O,591,15,16,61,1,treino
463,Cachaça,O,591,17,24,61,1,treino
464,Poço,B-NOME_BEBIDA,591,25,29,61,1,treino
465,da,I-NOME_BEBIDA,591,30,32,61,1,treino
466,Pedra,I-NOME_BEBIDA,591,33,38,61,1,treino
467,PREÇO,O,592,0,5,61,1,treino
468,:,O,592,5,6,61,1,treino
469,R$,B-PRECO,592,7,9,61,1,treino
470,45,I-PRECO,592,10,12,61,1,treino
471,",",I-PRECO,592,12,13,61,1,treino
472,60,I-PRECO,592,13,15,61,1,treino
473,DESCRIÇÃO,O,593,0,9,61,1,treino
474,DA,O,593,10,12,61,1,treino
475,CACHAÇA,O,593,13,20,61,1,treino
476,:,O,593,20,21,61,1,treino
477,Cachaça,O,593,22,29,61,1,treino
478,armazenada,O,593,30,40,61,1,treino
479,em,O,593,41,43,61,1,treino
480,barril,B-RECIPIENTE_ARMAZENAMENTO,593,44,50,61,1,treino
481,inox,I-RECIPIENTE_ARMAZENAMENTO,593,51,55,61,1,treino
482,Volume,O,594,0,6,61,1,treino
483,:,O,594,6,7,61,1,treino
484,500ml,B-VOLUME,594,8,13,61,1,treino
485,Graduação,O,595,0,9,61,1,treino
486,Alcoólica,O,595,10,19,61,1,treino
487,:,O,595,19,20,61,1,treino
488,42%,B-GRADUACAO_ALCOOLICA,595,21,24,61,1,treino
489,Produtor,O,596,0,8,61,1,treino
490,:,O,596,8,9,61,1,treino
491,Fazenda,B-NOME_ORGANIZACAO,596,10,17,61,1,treino
492,Barriguda,I-NOME_ORGANIZACAO,596,18,27,61,1,treino
493,Local,O,597,0,5,61,1,treino
494,de,O,597,6,8,61,1,treino
495,Produção,O,597,9,17,61,1,treino
496,:,O,597,17,18,61,1,treino
497,Caculé,B-NOME_LOCAL,597,19,25,61,1,treino
498,/,O,597,26,27,61,1,treino
499,Bahia,B-NOME_LOCAL,597,28,33,61,1,treino
500,NOME,O,598,0,4,62,1,treino
501,DA,O,598,5,7,62,1,treino
502,CACHAÇA,O,598,8,15,62,1,treino
503,:,O,598,15,16,62,1,treino
504,Cachaça,O,598,17,24,62,1,treino
505,Cabaré,B-NOME_BEBIDA,598,25,31,62,1,treino
506,Extra,B-CLASSIFICACAO_BEBIDA,598,32,37,62,1,treino
507,Premium,I-CLASSIFICACAO_BEBIDA,598,38,45,62,1,treino
508,15,B-TEMPO_ARMAZENAMENTO,598,46,48,62,1,treino
509,anos,I-TEMPO_ARMAZENAMENTO,598,49,53,62,1,treino
510,PREÇO,O,599,0,5,62,1,treino
511,:,O,599,5,6,62,1,treino
512,R$,B-PRECO,599,7,9,62,1,treino
513,350,I-PRECO,599,10,13,62,1,treino
514,",",I-PRECO,599,13,14,62,1,treino
515,0,I-PRECO,599,14,16,62,1,treino
516,DESCRIÇÃO,O,600,0,9,62,1,treino
517,DA,O,600,10,12,62,1,treino
518,CACHAÇA,O,600,13,20,62,1,treino
519,:,O,600,20,21,62,1,treino
520,A,O,600,22,23,62,1,treino
521,Cachaça,O,600,24,31,62,1,treino
522,Cabaré,B-NOME_BEBIDA,600,32,38,62,1,treino
523,é,O,600,39,40,62,1,treino
524,arrmazenada,O,600,41,52,62,1,treino
525,por,O,600,53,56,62,1,treino
526,15,B-TEMPO_ARMAZENAMENTO,600,57,59,62,1,treino
527,anos,I-TEMPO_ARMAZENAMENTO,600,60,64,62,1,treino
528,em,O,600,65,67,62,1,treino
529,tonéis,B-RECIPIENTE_ARMAZENAMENTO,600,68,74,62,1,treino
530,de,O,600,75,77,62,1,treino
531,carvalho,B-TIPO_MADEIRA,600,78,86,62,1,treino
532,europeu,I-TIPO_MADEIRA,600,87,94,62,1,treino
533,e,O,600,95,96,62,1,treino
534,envasada,O,600,97,105,62,1,treino
535,em,O,600,106,108,62,1,treino
536,garrafa,O,600,109,116,62,1,treino
537,de,O,600,117,119,62,1,treino
538,design,O,600,120,126,62,1,treino
539,francês,O,600,127,134,62,1,treino
540,.,O,600,134,135,62,1,treino
541,A,O,601,0,1,62,1,treino
542,cachaça,O,601,2,9,62,1,treino
543,é,O,601,10,11,62,1,treino
544,uma,O,601,12,15,62,1,treino
545,parceria,O,601,16,24,62,1,treino
546,da,O,601,25,27,62,1,treino
547,dupla,O,601,28,33,62,1,treino
548,de,O,601,34,36,62,1,treino
549,cantores,O,601,37,45,62,1,treino
550,Leonardo,B-NOME_PESSOA,601,46,54,62,1,treino
551,e,O,601,55,56,62,1,treino
552,Eduardo,B-NOME_PESSOA,601,57,64,62,1,treino
553,Costa,I-NOME_PESSOA,601,65,70,62,1,treino
554,",",O,601,70,71,62,1,treino
555,com,O,601,72,75,62,1,treino
556,o,O,601,76,77,62,1,treino
557,engenho,B-NOME_ORGANIZACAO,601,78,85,62,1,treino
558,Dom,I-NOME_ORGANIZACAO,601,86,89,62,1,treino
559,Tápparo,I-NOME_ORGANIZACAO,601,90,97,62,1,treino
560,.,O,601,97,98,62,1,treino
561,tudo,O,602,0,4,62,1,treino
562,para,O,602,5,9,62,1,treino
563,dar,O,602,10,13,62,1,treino
564,um,O,602,14,16,62,1,treino
565,gosto,O,602,17,22,62,1,treino
566,diferenciado,O,602,23,35,62,1,treino
567,",",O,602,35,36,62,1,treino
568,mais,O,602,37,41,62,1,treino
569,macio,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,602,42,47,62,1,treino
