Jornal	B-OBRA
Pós-Romântica	I-ABSTRACCAO
Correntes	O
do	O
Século	B-TEMPO
XX	I-TEMPO
Literatura	B-ABSTRACCAO
Actual	I-ABSTRACCAO
Nota	O
Introdutória	O
Índice	O
de	O
Autores	O
Índice	O
de	O
Obras	O
Outras	O
Ligações	O
Biblioteca	O
Gráfica	O
Letras	O
&	O
Letras	O
Curso	O
de	O
Literatura	B-ABSTRACCAO
Fotos	O
de	O
Portugal	B-LOCAL
Por	O
favor,	O
introduza	O
a	O
palavra	O
ou	O
expressão	O
que	O
deseja	O
pesquisar:	O
Obras	O
integrais	O
de	O
autores	O
portugueses	O
Sophia	B-PESSOA
de	I-PESSOA
Mello	I-PESSOA
Breyner	I-PESSOA
Andresen	I-PESSOA
nasceu	O
no	O
Porto	B-LOCAL
em	O
6	B-TEMPO
de	I-TEMPO
Novembro	I-TEMPO
de	I-TEMPO
1919	I-TEMPO
.	O
Foi	O
nessa	O
cidade	O
e	O
na	O
Praia	B-LOCAL
da	I-LOCAL
Granja	I-LOCAL
que	O
passou	O
a	O
sua	O
infância	O
e	O
juventude.	O
Frequentou	O
Filologia	B-ABSTRACCAO
Clássica	I-ABSTRACCAO
na	O
Universidade	B-ORGANIZACAO
de	I-ORGANIZACAO
Lisboa	I-ORGANIZACAO
,	O
mas	O
não	O
chegou	O
a	O
terminar	O
o	O
curso.	O
Foi	O
casada	O
com	O
o	O
jornalista	O
Francisco	B-PESSOA
Sousa	I-PESSOA
Tavares	I-PESSOA
e	O
mãe	O
de	O
cinco	O
filhos,	O
que	O
a	O
motivaram	O
a	O
escrever	O
contos	O
infantis.	O
Motivos	O
concretos	O
e	O
símbolos	O
excepcionais	O
para	O
cantar	O
o	O
amor	O
e	O
o	O
trágico	O
da	O
vida	O
foi-os	O
buscar	O
ao	O
mar	O
e	O
aos	O
pinhais	O
que	O
contemplou	O
na	O
Praia	B-LOCAL
da	I-LOCAL
Granja	I-LOCAL
;	O
com	O
a	O
sua	O
formação	O
helenística,	O
encontrou	O
evocações	O
do	O
passado	O
para	O
sugerir	O
transformações	O
do	O
futuro;	O
pela	O
sua	O
constante	O
atenção	O
aos	O
problemas	O
do	O
homem	O
e	O
do	O
mundo,	O
criou	O
uma	O
literatura	O
de	O
empenhamento	O
social	O
e	O
político,	O
de	O
compromisso	O
com	O
o	O
seu	O
tempo	O
e	O
de	O
denúncia	O
da	O
injustiça	O
e	O
da	O
opressão.	O

Foi	O
agraciada	O
com	O
o	O
Prémio	B-OUTRO
Camões	I-OUTRO
em	O
1999	B-TEMPO
.	O
Obras	O
poéticas:	O
Poesia	B-OBRA
(	O
1944	B-TEMPO
),	O
Dia	B-OBRA
do	I-OBRA
Mar	I-OBRA
(	O
1947	B-TEMPO
),	O
Coral	B-OBRA
,	O
(	O
1950	B-TEMPO
),	O
No	B-OBRA
Tempo	I-OBRA
Dividido	I-OBRA
,	O
(	O
1954	B-TEMPO
),	O
Mar	B-OBRA
Novo	I-OBRA
(	O
1958	B-TEMPO
),	O
Livro	B-OBRA
Sexto	I-OBRA
(	O
1962	B-TEMPO
)	O
Geografia	B-OBRA
(	O
1967	B-TEMPO
)	O
,	O
Dual	B-OBRA
(	O
1972	B-TEMPO
),	O
Nome	B-OBRA
das	I-OBRA
Coisas	I-OBRA
(	O
1977	B-TEMPO
),	O
Musa	B-OBRA
(	O
1994	B-TEMPO
),	O
etc.	O
Obras	O
narrativas:	O
O	B-OBRA
Cavaleiro	I-OBRA
da	I-OBRA
Dinamarca	I-OBRA
,	O
Contos	B-OBRA
Exemplares	I-OBRA
,	O
Histórias	B-OBRA
da	I-OBRA
Terra	I-OBRA
e	I-OBRA
do	I-OBRA
Mar	I-OBRA
,	O
A	B-OBRA
Floresta	I-OBRA
,	O
A	B-OBRA
Menina	I-OBRA
do	I-OBRA
Mar	I-OBRA
,	O
O	B-OBRA
Rapaz	I-OBRA
de	I-OBRA
Bronze	I-OBRA
,	O
A	B-OBRA
Fada	I-OBRA
Oriana	I-OBRA
,	O
etc.	O
Voltar	O
àpágina	O
da	O
Literatura	B-ABSTRACCAO
Actual	I-ABSTRACCAO
Pórtico	O
|	O
Nota	O
Introdutória	O
|	O
Índice	O
de	O
Autores	O
|	O
Índice	O
de	O
Obras	O
|	O
Outras	O
Ligações	O
©1996-2002,	O
Projecto	B-LOCAL
Vercial	I-LOCAL
.	O

Lions	B-ORGANIZACAO
Clube	I-ORGANIZACAO
de	I-ORGANIZACAO
Faro	I-ORGANIZACAO
DM-115CS	O
Portugal	B-LOCAL
O	O
Algarve	B-LOCAL
,	O
a	O
região	O
mais	O
a	O
sul	O
do	O
território	O
continental	O
de	O
Portugal	B-LOCAL
,	O
tem	O
por	O
capital	O
a	O
cidade	O
de	O
Faro	B-LOCAL
.	O
É	O
no	O
Hotel	B-LOCAL
Eva	I-LOCAL
,	O
situado	O
na	O
lateral	O
da	O
marina,	O
que	O
se	O
reune	O
o	O
Clube	B-ORGANIZACAO
Lions	I-ORGANIZACAO
,	O
nas	O
primeiras	O
quartas-feiras	O
de	O
cada	O
mês,	O
pelas	O
21	B-TEMPO
horas	I-TEMPO
.	O
Um	O
pouco	O
de	O
História	O
As	O
actividades	O
mais	O
relevantes	O
do	O
Lions	B-ORGANIZACAO
Clube	I-ORGANIZACAO
de	I-ORGANIZACAO
Faro	I-ORGANIZACAO
,	O
estendemse	O
ao	O
longo	O
dos	O
vários	O
anos	O
da	O
sua	O
existência,	O
sendo	O
preocupaçâo	O
constante	O
auscultar	O
as	O
carências	O
da	O
regiâo	O
em	O
que	O
se	O
inserem.	O
Têm-se	O
privilegiado,	O
pelas	O
constantes	O
necessidades	O
de	O
ajuda,	O
instituiçôes	O
como	O
as	O
casas	O
de	O
Santa	B-ORGANIZACAO
Isabel	I-ORGANIZACAO
(que	O
acolhe	O
meninas	O
desprotegidas),	O
da	O
Madre	B-ORGANIZACAO
Teresa	I-ORGANIZACAO
de	I-ORGANIZACAO
Calcutá	I-ORGANIZACAO
,	O
e	O
a	O
Conferência	B-ORGANIZACAO
de	I-ORGANIZACAO
São	I-ORGANIZACAO
Vicente	I-ORGANIZACAO
de	I-ORGANIZACAO
Paula	I-ORGANIZACAO
.	O
Nos	O
anos	O
lionísticos	O
de	O
88	B-TEMPO
/	O
89	B-TEMPO
e	O
90	B-TEMPO
/	O
91	B-TEMPO
,	O
foram	O
angariados	O
fundos	O
para	O
o	O
Instituto	B-ORGANIZACAO
D.Francisco	I-ORGANIZACAO
Gomes	I-ORGANIZACAO
,	O
Casa	B-ORGANIZACAO
dos	I-ORGANIZACAO
Rapazes	I-ORGANIZACAO
e,	O
a	O
partir	O
de	O
1991	B-TEMPO
a	O
Associação	B-ORGANIZACAO
Portuguesa	I-ORGANIZACAO
de	I-ORGANIZACAO
Paralisia	I-ORGANIZACAO
Cerebral	I-ORGANIZACAO
tem	O
sido	O
alvo	O
de	O
múltiplas	O
campanhas,	O
tendo	O
em	O
vista	O
a	O
construção	O
da	O
sua	O
sede.	O

Pontualmente	O
foram	O
contempladas	O
instituições	O
de	O
tratamento	O
contra	O
a	O
droga,	O
tais	O
como	O
o	O
SER	B-ORGANIZACAO
,	O
e	O
o	O
GATO	B-ORGANIZACAO
,	O
a	O
Associação	B-ORGANIZACAO
de	I-ORGANIZACAO
Pais	I-ORGANIZACAO
e	I-ORGANIZACAO
Amigos	I-ORGANIZACAO
das	I-ORGANIZACAO
Crianças	I-ORGANIZACAO
Diminuídas	I-ORGANIZACAO
Mentais	I-ORGANIZACAO
,	O
o	O
CACE	B-ORGANIZACAO
-	O
centro	O
artístico	O
e	O
cultural	O
de	O
Estói	B-LOCAL
,	O
a	O
ASMAL	B-ORGANIZACAO
-	O
Associação	B-ORGANIZACAO
de	I-ORGANIZACAO
Saúde	I-ORGANIZACAO
Mental	I-ORGANIZACAO
do	I-ORGANIZACAO
Algarve	I-ORGANIZACAO
,	O
etc...	O
Correspondendo	O
ao	O
apelo	O
do	O
Lions	B-ORGANIZACAO
Internacional	I-ORGANIZACAO
,	O
o	O
Clube	B-ORGANIZACAO
de	I-ORGANIZACAO
Faro	I-ORGANIZACAO
angariou,	O
em	O
93/94	B-TEMPO
,	O
fundos	O
para	O
a	O
campanha	O
de	O
prevenção	O
da	O
cegueira	O
"	O
Sight	B-ACONTECIMENTO
First	I-ACONTECIMENTO
",	O
tendo,	O
no	O
ano	O
imediato,	O
participado	O
na	O
campanha	O
"	O
Bengala	B-ACONTECIMENTO
Branca	I-ACONTECIMENTO
".	O
Dentro	O
da	O
perspectiva	O
cultural	O
o	O
Lions	B-ORGANIZACAO
de	I-ORGANIZACAO
Faro	I-ORGANIZACAO
tem	O
apoiado	O
e	O
vindo	O
a	O
criar	O
várias	O
iniciativas,	O
tais	O
como	O
espectáculos,	O
palestras	O
e,	O
em	O
96/97	B-TEMPO
dinamiza	O
o	O
Prémio	B-OUTRO
Literário	I-OUTRO
que	O
pretende	O
envolver	O
não	O
só	O
a	O
região,	O
mas	O
a	O
comunidade	O
lusófona.	O
Administrador:	O
Marcelo	B-PESSOA
Calixto	I-PESSOA
-	O
LC	B-ORGANIZACAO
Faro	I-ORGANIZACAO
|	O
Suporte	O
Técnico:	O
José	B-PESSOA
Machado	I-PESSOA
-	O
IP	B-ORGANIZACAO
|	O
Esta	O
página	O
tem	O
o	O
apoio	O
da	O
IP	B-ORGANIZACAO

RCM	B-ORGANIZACAO
-	O
Rádio	B-ORGANIZACAO
do	I-ORGANIZACAO
Concelho	I-ORGANIZACAO
de	I-ORGANIZACAO
Mafra	I-ORGANIZACAO
Entrada	O
Sobre	O
a	O
RCM	B-ORGANIZACAO
Links	O
Opinião	O
A	O
Primavera	O
da	O
Guerra	O
Definir	O
como	O
Homepage	O
Adicionar	O
a	O
Favoritos	O
Guerra	O
no	O
Iraque	B-LOCAL
A	O
guerra	O
no	O
Iraque	B-LOCAL
está	O
a	O
mobilizar	O
e	O
a	O
apaixonar	O
a	O
opinião	O
pública	O
mundial.	O
A	O
RCM	B-ORGANIZACAO
gostaria	O
de	O
ouvir	O
o	O
Concelho	B-PESSOA
de	I-PESSOA
Mafra	I-PESSOA
sobre	O
um	O
assunto	O
de	O
vital	O
importância	O
para	O
toda	O
a	O
comunidade	O
internacional;	O
consulte	O
a	O
página	O
de	O
Opinião	O
e	O
diga-nos	O
o	O
que	O
pensa	O
sobre	O
este	O
conflito.	O
Formação	O
Profissional	O
é	O
a	O
melhor	O
opção	O
Os	O
alunos	O
com	O
o	O
12º	B-VALOR
ano	O
que	O
não	O
querem	O
seguir	O
o	O
Ensino	B-ABSTRACCAO
Superior	I-ABSTRACCAO
devem	O
apostar	O
na	O
formação	O
profissional	O
antes	O
de	O
começarem	O
a	O
trabalhar.	O
A	O
mensagem	O
foi	O
deixada	O
pela	O
orientadora	O
do	O
workshop	O
de	O
Técnicas	B-ACONTECIMENTO
de	I-ACONTECIMENTO
Procura	I-ACONTECIMENTO
de	I-ACONTECIMENTO
Emprego	I-ACONTECIMENTO
,	O
terça-feira,	O
em	O
Mafra	B-LOCAL
.	O
9-4-2003	B-TEMPO
18:36	B-TEMPO
0	B-VALOR
Comentários	O
?	O
Paz	B-ABSTRACCAO
|Paz	O
sim,	O
Guerra	B-ABSTRACCAO
|Guerra	O
não!?	O
Os	O
alunos	O
da	O
Escola	B-ORGANIZACAO
Secundária	I-ORGANIZACAO
José	I-ORGANIZACAO
Saramago	I-ORGANIZACAO
juntaram-se	O
contra	O
a	O
Guerra	B-ABSTRACCAO
|Guerra	O
e	O
a	O
violência.	O
No	O
21º	B-VALOR
dia	O
de	O
confrontos	O
no	O
Iraque	B-LOCAL
,	O
alunos	O
e	O
professores	O
percorreram	O
algumas	O
ruas	O
da	O
vila	O
de	O
Mafra	B-LOCAL
,	O
distribuíram	O
folhetos	O
e	O
soltaram	O
pombas	O
brancas	O
a	O
favor	O
da	O
Paz	B-ABSTRACCAO
.	O

9-4-2003	B-TEMPO
18:34	B-TEMPO
0	B-VALOR
Comentários	O
Crescimento	O
do	O
concelho	O
faz	O
disparar	O
desemprego	O
O	O
director	O
do	O
Centro	B-ORGANIZACAO
de	I-ORGANIZACAO
Emprego	I-ORGANIZACAO
de	I-ORGANIZACAO
Torres	I-ORGANIZACAO
Vedras	I-ORGANIZACAO
justifica	O
o	O
aumento	O
do	O
desemprego	O
no	O
concelho	O
de	O
Mafra	B-LOCAL
com	O
a	O
procura	O
crescente	O
de	O
que	O
este	O
concelho	O
é	O
alvo	O
por	O
parte	O
de	O
pessoas	O
da	O
Grande	B-LOCAL
Lisboa	I-LOCAL
que	O
vêm	O
residir	O
para	O
Mafra	B-LOCAL
e	O
continuam	O
a	O
trabalhar	O
na	O
capital.	O
9-4-2003	B-TEMPO
18:28	B-TEMPO
0	B-VALOR
Comentários	O
Jornadas	B-ACONTECIMENTO
da	I-ACONTECIMENTO
Juventude	I-ACONTECIMENTO
animam	O
mês	O
de	O
Abril	B-TEMPO
Teatro,	O
cinema,	O
desporto,	O
pintura,	O
música	O
e	O
workshops	O
de	O
orientação	O
profissional	O
dominam	O
o	O
programa	O
comemorativo	O
do	O
Mês	B-ACONTECIMENTO
da	I-ACONTECIMENTO
Juventude	I-ACONTECIMENTO
,	O
numa	O
iniciativa	O
da	O
Câmara	B-ORGANIZACAO
Municipal	I-ORGANIZACAO
de	I-ORGANIZACAO
Mafra	I-ORGANIZACAO
.	O
28-3-2003	B-TEMPO
11:31	B-TEMPO
0	B-VALOR
Comentários	O
Cavalos	O
dão	O
espectáculo	O
na	O
Semana	B-ACONTECIMENTO
Equestre	I-ACONTECIMENTO
De	O
entre	O
as	O
iniciativas	O
deste	O
fim-de-semana,	O
há	O
uma	O
que	O
merece	O
destaque:	O
o	O
espectáculo	O
de	O
bem	O
cavalgar	O
a	O
toda	O
a	O
sela.	O
A	O
Semana	B-ACONTECIMENTO
Equestre	I-ACONTECIMENTO
Militar	I-ACONTECIMENTO
está	O
de	O
volta	O
ao	O
Centro	B-ORGANIZACAO
Militar	I-ORGANIZACAO
de	I-ORGANIZACAO
Mafra	I-ORGANIZACAO
com	O
a	O
presença	O
de	O
mais	O
de	O
duzentos	O
cavaleiros.	O
28-3-2003	B-TEMPO
11:27	B-TEMPO
0	B-VALOR
Comentários	O
Ampliar	O
Foto	O
EDITORIAL	O
EDITORIAL	O
A	O
Primavera	O
da	O
Guerra	O
9-4-2003	B-TEMPO
17:44	B-TEMPO
Topo	O
da	O
página	O
Entrada	O
Contactos	O
Publicidade	O
Browser:	O
I.Explorer	B-COISA
?	O
Definição:	O
800x600	B-VALOR
Webmaster	O
RCM	B-ORGANIZACAO
Inscreva-se	O
aqui	O
no	O
Guia	O
Comercial	O

Você	O
sabia...	O
Véu	B-ORGANIZACAO
da	I-ORGANIZACAO
Noiva	I-ORGANIZACAO
[	O
veudanoiva@veudanoiva.com.br	O
]	O
Véu	B-ORGANIZACAO
da	I-ORGANIZACAO
Noiva	I-ORGANIZACAO
Noiva,	O
Festa,	O
Masculino,	O
Infantil	O
e	O
Acessórios	O
Você	O
sabia...que	O
na	O
Copa	B-ACONTECIMENTO
do	I-ACONTECIMENTO
Mundo	I-ACONTECIMENTO
da	O
França	B-LOCAL
|	O
Copa	B-ACONTECIMENTO
do	I-ACONTECIMENTO
Mundo	I-ACONTECIMENTO
da	I-ACONTECIMENTO
França	I-ACONTECIMENTO
,	O
em	O
1998	B-TEMPO
,	O
uma	O
Brasileira	O
e	O
um	O
Norueguês	O
se	O
casaram	O
bem	O
no	O
centro	O
do	O
gramado	O
do	O
estádio	O
Vélodrome	B-LOCAL
,	O
em	O
Marselha	B-LOCAL
.	O
A	O
cerimônia	O
aconteceu	O
antes	O
da	O
partida	O
Brasil	B-ACONTECIMENTO
X	I-ACONTECIMENTO
Noruega	I-ACONTECIMENTO
|	O
Brasil	B-PESSOA
X	O
Noruega	B-PESSOA
.	O
Precisando	O
de	O
uma	O
bela	O
roupa	O
para	O
aquela	O
ocasião	O
inesquecível...	O
não	O
deixe	O
de	O
passar	O
no	O
Véu	B-ORGANIZACAO
da	I-ORGANIZACAO
Noiva	I-ORGANIZACAO
.	O
Véu	B-ORGANIZACAO
da	I-ORGANIZACAO
Noiva	I-ORGANIZACAO
,	O
desde	O
1992	B-TEMPO
festejando	O
com	O
você!	O
Av.	B-LOCAL
do	I-LOCAL
Contorno	I-LOCAL
6888	O
lj	O
101	O
-	O
Lourdes	B-LOCAL
-	O
Belo	B-LOCAL
Horizonte	I-LOCAL
/	O
MG	B-LOCAL
-	O
Tel.:	O
(	O
31)	O
3225-5545	O
Estacionamento	O
conveniado	O
na	O
Rua	B-LOCAL
Barão	I-LOCAL
de	I-LOCAL
Macaúbas	I-LOCAL
48	O
veudanoiva@veudanoiva.com.br	O

A	O
INFORMAÇÃO	O
NO	O
MUNDO	O
DA	O
TÉCNICA	O
Nos	O
dias	O
4	B-TEMPO
,	O
5	B-TEMPO
,	O
6	B-TEMPO
de	I-TEMPO
setembro	I-TEMPO
havera'	O
no	O
Inst	B-ORGANIZACAO
de	I-ORGANIZACAO
Matematica	I-ORGANIZACAO
-	O
IMPA	B-ORGANIZACAO
do	O
MCT	B-ORGANIZACAO
-	O
no	O
Rio	B-LOCAL
de	I-LOCAL
Janeiro	I-LOCAL
um	O
Seminario	B-ACONTECIMENTO
sobre	I-ACONTECIMENTO
a	I-ACONTECIMENTO
FORMACAO	I-ACONTECIMENTO
DE	I-ACONTECIMENTO
RECURSOS	I-ACONTECIMENTO
HUMANOS	I-ACONTECIMENTO
EM	I-ACONTECIMENTO
TECNOLOGIA	I-ACONTECIMENTO
DA	I-ACONTECIMENTO
INFORMACAO	I-ACONTECIMENTO
PARA	I-ACONTECIMENTO
O	I-ACONTECIMENTO
ESTADO	I-ACONTECIMENTO
DO	I-ACONTECIMENTO
RIO	I-ACONTECIMENTO
DE	I-ACONTECIMENTO
JANEIRO	I-ACONTECIMENTO
.	O
Um	O
grupo	O
de	O
trabalho	O
em	O
Contéudo	B-ABSTRACCAO
e	I-ABSTRACCAO
Organização	I-ABSTRACCAO
da	I-ABSTRACCAO
Informação	I-ABSTRACCAO
(	O
GT	B-PESSOA
5	I-PESSOA
)	O
preparou	O
um	O
documento	O
base	O
para	O
apresentar	O
e	O
discutir	O
na	O
Reuniao	B-ACONTECIMENTO
|Reuniao	O
que	O
esta	O
disponível	O
na	O
URL:	O
www.rnp.br/ti-rj/gt5.html	O
O	O
Grupo	B-PESSOA
|	O
Grupo	O
de	O
trabalhos,	O
como	O
indicado,	O
na	O
pagina	O
esta	O
composto	O
por:	O
Conteúdo	B-ABSTRACCAO
e	I-ABSTRACCAO
Organização	I-ABSTRACCAO
da	I-ABSTRACCAO
Informação	I-ABSTRACCAO
Coordenador:	O
Liz-Rejane	B-PESSOA
Legey	I-PESSOA
(	O
IBICT	B-ORGANIZACAO
)	O
Colaboradores:	O
Gilda	B-PESSOA
Olinto	I-PESSOA
-	O
IBICT	B-ORGANIZACAO
Helio	B-PESSOA
Kuramoto	I-PESSOA
-	O
IBICT	B-ORGANIZACAO
Carlos	B-PESSOA
Henrique	I-PESSOA
Marcondes	I-PESSOA
UFF	B-ORGANIZACAO
Vale	O
a	O
pena	O
dar	O
uma	O
olhada	O
no	O
documento	O
completo.	O
As	O
Coclusoes	O
reproduzi	O
abaixo:	O
CONCLUSAO	O
A	O
análise	O
desenvolvida	O
nesse	O
trabalho	O
oferece	O
alguns	O
elementos	O
que	O
permitem	O
responder	O
a	O
indagação:	O
A	O
área	O
de	O
Ciência	B-ABSTRACCAO
da	I-ABSTRACCAO
Informação	I-ABSTRACCAO
está	O
preparada	O
para	O
atender	O
a	O
atual	O
demanda	O
do	O
mercado	O
de	O
trabalho?	O
Embora	O
a	O
análise	O
aqui	O
desenvolvida	O
não	O
seja	O
suficientemente	O
extensa	O
para	O
qualificar	O
e	O
até	O
quantificar	O
uma	O
argumentação	O
aprofundada,	O
os	O
dados	O
levantados	O
evidenciam	O
que	O
A	O
CIENCIA	B-ABSTRACCAO
DA	I-ABSTRACCAO
INFORMACAO	I-ABSTRACCAO
,	O
ESTA	O
DEFASADA	O
NO	O
QUE	O
SE	O
REFERE	O
A	O
PREPARACAO	O
DE	O
PROFISSIONAIS	O
PARA	O
O	O
MERCADO.	O

Vale	O
notar	O
que	O
o	O
termo	O
mercado	O
é	O
aqui	O
empregado	O
de	O
forma	O
a	O
incorporar	O
também	O
a	O
área	O
acadêmica	O
e	O
de	O
pesquisa,	O
já	O
que	O
a	O
Ciência	B-ABSTRACCAO
da	I-ABSTRACCAO
Informação	I-ABSTRACCAO
se	O
desenvolve	O
no	O
Brasil	B-LOCAL
,	O
exclusivamente,	O
no	O
âmbito	O
da	O
pós-graduação	O
e	O
muitos	O
alunos	O
tem	O
como	O
objetivo	O
ingressar	O
na	O
vida	O
acadêmica.	O
Certamente,	O
a	O
defasagem	O
aqui	O
referida	O
não	O
afeta	O
somente	O
a	O
área	O
da	O
Ciência	B-ABSTRACCAO
da	I-ABSTRACCAO
Informação	I-ABSTRACCAO
.	O
De	O
uma	O
forma	O
mais	O
ou	O
menos	O
intensa,	O
todas	O
as	O
áreas	O
do	O
conhecimento	O
foram	O
afetadas	O
pelas	O
mudanças	O
recentes	O
no	O
panorama	O
mundial	O
;	O
o	O
advento	O
da	O
Internet	B-COISA
,	O
a	O
globalização,	O
a	O
difusão	O
da	O
TI	B-ABSTRACCAO
,	O
a	O
transição	O
para	O
a	O
sociedade	O
do	O
conhecimento,	O
impõem	O
a	O
necessidade	O
de	O
uma	O
reflexão	O
sobre	O
a	O
qualidade	O
dessas	O
mudanças	O
e	O
as	O
respostas	O
que	O
os	O
vários	O
segmentos	O
da	O
sociedade	O
darão	O
a	O
elas.	O
É	O
importante	O
ter	O
claro,	O
porém	O
que	O
as	O
mudanças	O
não	O
são	O
autônomas,	O
são	O
conduzidas	O
e	O
postas	O
em	O
movimento	O
por	O
interesses	O
diversos,	O
sobre	O
os	O
quais	O
é	O
preciso	O
ter	O
clareza,	O
precaução	O
e	O
um	O
posicionamento	O
político	O
consciente.	O

Nesse	O
sentido,	O
o	O
objetivo	O
ao	O
se	O
repensar	O
a	O
formação	O
de	O
recursos	O
humanos	O
na	O
área	O
das	O
tecnologias	O
de	O
informação	O
é	O
aqui	O
norteado	O
pela	O
idéia	O
de	O
uma	O
oportunidade	O
para	O
se	O
almejar	O
mais	O
e	O
melhores	O
empregos	O
para	O
todos	O
os	O
brasileiros.	O
No	O
que	O
se	O
refere	O
à	O
área	O
da	O
Ciência	B-ABSTRACCAO
da	I-ABSTRACCAO
Informação	I-ABSTRACCAO
,	O
o	O
desafio	O
é	O
particularmente	O
grande	O
em	O
função	O
da	O
imbricação	O
evidente	O
entre	O
o	O
campo	O
de	O
atuação	O
dos	O
profissionais	O
e	O
as	O
TI	B-ABSTRACCAO
.	O
As	O
TI	B-ABSTRACCAO
são	O
uma	O
ferramenta	O
imprescindível	O
para	O
o	O
profissional	O
da	O
área	O
trabalhar	O
com	O
os	O
conteúdos	O
e	O
ao	O
mesmo	O
tempo	O
são	O
canal	O
por	O
excelência	O
de	O
