Camilo	B-PESSOA
Girardin	I-PESSOA
.	O
O	O
cetim,	O
ouvida	O
a	O
resposta	O
do	O
veludo,	O
ofereceu-lhe	O
o	O
braço,	O
e	O
gostou	O
da	O
boa	O
vontade	O
com	O
que	O
lhe	O
foi	O
recebido.	O
-	O
«	O
Conheço	O
»	O
?	O
diz	O
ele	O
?	O
«	O
que	O
o	O
teu	O
contacto	O
me	O
espiritualiza,	O
belo	O
dominó!	O
»	O
-	O
«	O
Belo,	O
me	O
chamas	O
tu	O
!!	O
É	O
realmente	O
uma	O
leviandade	O
que	O
te	O
não	O
faz	O
honra	O
!!	O
Se	O
eu	O
levantasse	O
esta	O
sanefa	O
de	O
seda,	O
que	O
me	O
faz	O
bonita,	O
ficavas	O
como	O
aquele	O
poeta	O
espanhol	O
que	O
soltou	O
uma	O
exclamação	O
de	O
terror	O
na	O
presença	O
de	O
um	O
nariz!	O
que	O
nariz	O
não	O
seria,	O
santo	O
Deus	B-PESSOA
!!	O
Não	O
sabes	O
essa	O
história	O
?	O
»	O
-	O
«Não,	O
meu	O
anjo	O
!	O
»	O
-	O
«	O
Meu	O
anjo	O
!!	O
Que	O
graça	O
!	O
Pois	O
eu	O
ta	O
conto.	O

Como	O
o	O
poeta	O
se	O
chama	O
não	O
sei,	O
nem	O
importa.	O
Imagina	O
tu	O
que	O
és	O
um	O
poeta,	O
fantástico	O
como	O
Lamartine	B-PESSOA
,	O
vulcânico	O
como	O
Byron	B-PESSOA
,	O
sonhador	O
como	O
MacPherson	B-PESSOA
e	O
voluptuoso	O
como	O
Voltaire	B-PESSOA
aos	O
60	B-VALOR
anos	I-VALOR
.	O
Imagina	O
que	O
o	O
tédio	O
desta	O
vida	O
chilra	O
que	O
se	O
vive	O
no	O
Porto	B-LOCAL
te	O
obrigou	O
a	O
deixar	O
no	O
teu	O
quarto	O
a	O
pitonissa	O
descabelada	O
das	O
tuas	O
inspirações,	O
e	O
vieste	O
por	O
aqui	O
dentro	O
a	O
procurar	O
um	O
passatempo	O
nestes	O
passatempos	O
alvares	O
de	O
um	O
baile	O
de	O
Carnaval	B-TEMPO
.	O
Imagina	O
que	O
encontravas	O
uma	O
mulher	O
extraordinária	O
de	O
espírito,	O
um	O
anjo	O
de	O
eloquência,	O
um	O
demónio	O
de	O
epigrama,	O
enfim,	O
uma	O
destas	O
criações	O
miraculosas	O
que	O
fazem	O
rebentar	O
uma	O
chama	O
improvisa	O
no	O
coração	O
mais	O
de	O
gelo,	O
e	O
de	O
lama,	O
e	O
de	O
toucinho	O
sem	O
nervo.	O
Ris	O
?	O
Achas	O
nova	O
a	O
expressão,	O
não	O
é	O
assim	O
?	O
Um	O
coração	O
de	O
toucinho	O
parece-te	O
uma	O
ofensa	O
ao	O
bom	O
senso	O
anatómico,	O
não	O
é	O
verdade	O
?	O
Pois,	O
meu	O
caro	O
dominó,	O
há	O
corações	O
de	O
toucinho	O
estreme.	O
São	O
os	O
corações,	O
que	O
resumam	O
óleo	O
em	O
certas	O
caras	O
estúpidas!	O
Por	O
exemplo!	O
Olha	O
este	O
homem	O
redondo,	O
que	O
aqui	O
está,	O
com	O
as	O
pálpebras	O
em	O
quatro	O
refegos,	O
com	O
os	O
olhos	O
vermelhos	O
como	O
os	O
de	O
um	O
coelho	O
morto,	O
com	O
o	O
queixo	O
inferior	O
pendente,	O
e	O
o	O
lábio	O
escarlate	O
e	O
vidrado	O
como	O
o	O
bordo	O
de	O
uma	O
pingadeira,	O
orvalhada	O
de	O
banha	O
de	O
porco!	O
Esta	O
cara	O
não	O
te	O
parece	O
um	O
grande	O
rijão	O
?	O
Não	O
crês	O
que	O
este	O
baboso	O
tenha	O
um	O
coração	O
de	O
toucinho	O
?	O
»	O
-	O
«	O
Creio,	O
creio	O
;	O
mas	O
fala	O
mais	O
baixo	O
que	O
o	O
desgraçado	O
está	O
gemer	O
debaixo	O
do	O
teu	O
escalpelo!	O
»	O
-	O
«	O
És	O
tolo,	O
meu	O
cavalheiro	O
!	O
Ele	O
entende	O
me	O
lá	O
!!	O
É	O
verdade,	O
aí	O
vai	O
a	O
história	O
do	O
espanhol,	O
que	O
tenho	O
que	O
fazer!	O
»	O
-	O
«	O
Então	O
queres	O
deixar-me	O
?	O
»	O
-	O
«	O
E	O
tu	O
?!	O
Queres	O
que	O
eu	O
te	O
deixe	O
?	O
»	O
-	O
«	O
Palavra	O
de	O
honra	O
que	O
não	O
!	O
Se	O
me	O
deixas,	O
retiro-me!	O
»	O
-	O
«	O
És	O
muito	O
amável,	O
meu	O
querido	O
Carlos	B-PESSOA
!	O
»	O
-	O
«	O
Conheces-me	O
?	O
!	O
»	O
-	O
«	O
Essa	O
pergunta	O
é	O
ociosa.	O

Não	O
és	O
tu	O
Carlos	B-PESSOA
!	O
»	O
-	O
«	O
Já	O
falaste	O
comigo	O
na	O
tua	O
voz	O
natural	O
?	O
»	O
-	O
«	O
Não	O
;	O
mas	O
começo	O
a	O
falar	O
agora.	O
»	O

(todos)	O
Ação/Aventura	B-COISA
Cinema	B-COISA
Brasileiro	I-COISA
Comédia	B-COISA
Desenho	B-COISA
Documentário	B-COISA
Drama	B-COISA
Ficção	B-COISA
Científica	I-COISA
Filme	B-COISA
de	I-COISA
Arte	I-COISA
Guerra	B-COISA
Infantil	B-COISA
Musical	B-COISA
Romance	B-COISA
Show/Espetáculo	B-COISA
Suspense	B-COISA
Terror	B-COISA
Western	B-COISA
título	O
diretor	O
ator/atriz	O
ano	O
País	B-LOCAL
Distribuidora	B-ORGANIZACAO
DVD	O
Pânico	B-OBRA
2	I-OBRA
PRÉ-VENDA	O
R$35,90	B-VALOR
MIB	B-OBRA
Homens	I-OBRA
de	I-OBRA
Preto	I-OBRA
-	O
Grátis	O
Camiseta	O
R$37,90	B-VALOR
DVD	O
O	B-OBRA
Exterminador	I-OBRA
do	I-OBRA
Futuro	I-OBRA
R$29,90	B-VALOR
DVD	O
News	O
Jimi	B-ABSTRACCAO
Hendrix	I-ABSTRACCAO
em	O
dose	O
dupla	O
por	O
Marina	B-PESSOA
Person	I-PESSOA
Os	O
títulos	O
musicais	O
sempre	O
são	O
os	O
prediletos	O
na	O
maioria	O
das	O
DVDtecas	B-ORGANIZACAO
.	O
Já	O
existem	O
aqui	O
no	O
Brasil	B-LOCAL
dois	O
títulos	O
particularmente	O
saborosos	O
pra	O
quem	O
curte	O
um	O
bom	O
rock	O
&	O
roll.	O
"	O
Jimi	B-OBRA
Hendrix:	I-OBRA
Live	I-OBRA
at	I-OBRA
Woodstock	I-OBRA
"	O
e	O
"	O
Band	B-OBRA
of	I-OBRA
Gypsys:	I-OBRA
Live	I-OBRA
at	I-OBRA
The	I-OBRA
Fillmore	I-OBRA
East	I-OBRA
"	O
.	O
O	O
primeiro	O
dispensa	O
apresentações,	O
afinal	O
se	O
trata	O
do	O
maior,	O
mais	O
famoso	O
e	O
mais	O
cultuado	O
festival	O
de	O
rock	O
de	O
todos	O
os	O
tempos.	O
Jimi	B-PESSOA
Hendrix	I-PESSOA
encerrou	O
Woodstock	B-ACONTECIMENTO
com	O
performances	O
mais	O
do	O
que	O
inspiradas	O
de	O
clássicos	O
como	O
Purple	B-OBRA
Haze	I-OBRA
,	O
Fire	B-OBRA
,	O
Voodoo	B-OBRA
Child	I-OBRA
,	O
e	O
a	O
sua	O
histórica	O
versão	O
do	O
hino	O
americano:	O
The	B-OBRA
Star	I-OBRA
Spangled	I-OBRA
Banner	I-OBRA
.	O
O	O
segundo	O
título,	O
Band	B-OBRA
of	I-OBRA
Gypsys	I-OBRA
,	O
é	O
um	O
documentário	O
que	O
procura	O
ir	O
além	O
do	O
mito	O
Jimi	B-ABSTRACCAO
Hendrix	I-ABSTRACCAO
.	O
Trinta	B-VALOR
anos	I-VALOR
depois	O
da	O
sua	O
morte,	O
ele	O
ainda	O
é	O
considerado	O
o	O
pai	O
de	O
todos	O
os	O
guitarristas.	O
O	O
documentário	O
inclui	O
entrevistas	O
com	O
músicos	O
de	O
hoje,	O
que	O
foram	O
influenciados	O
pelo	O
seu	O
estilo	O
e	O
originalidade.	O
Os	O
depoimentos	O
de	O
Lenny	B-PESSOA
Kravitz	I-PESSOA
,	O
Vernon	B-PESSOA
Reid	I-PESSOA
do	O
Living	B-PESSOA
Colour	I-PESSOA
e	O
Slash	B-PESSOA
do	O
Guns	B-PESSOA
'n	I-PESSOA
Roses	I-PESSOA
dão	O
a	O
dimensão	O
do	O
fenômeno	O
Hendrix	B-ABSTRACCAO
,	O
o	O
porquê	O
dele	O
ser	O
único,	O
incomparável.	O
Algumas	O
boas	O
histórias	O
também	O
são	O
contadas	O
pelo	O
engenheiro	O
de	O
som	O
Eddie	B-PESSOA
Kramer	I-PESSOA
,	O
e,	O
claro,	O
pelos	O
seus	O
companheiros	O
de	O
banda:	O
Buddy	B-PESSOA
Miles	I-PESSOA
e	O
Billy	B-PESSOA
Cox	I-PESSOA
,	O
respectivamente	O
o	O
baterista	O
e	O
baixista	O
da	O
Band	B-PESSOA
of	I-PESSOA
Gypsys	I-PESSOA
,	O
e	O
mais	O
os	O
parceiros	O
na	O
outra	O
banda,	O
Experience	B-PESSOA
,	O
Mitch	B-PESSOA
Mitchell	I-PESSOA
e	O
Noel	B-PESSOA
Redding	I-PESSOA
.	O
O	O
DVD	B-OBRA
|DVD	O
também	O
inclui	O
imagens	O
raras	O
e	O
inéditas	O
em	O
vídeo	O
ou	O
TV	O
e	O
fotos	O
do	O
histórico	O
show	O
em	O
Fillmore	B-LOCAL
East	I-LOCAL
.	O

Imperdível!	O
Leia	O
também	O
outras	O
matérias	O
assinadas	O
por	O
Marina	B-PESSOA
Person	I-PESSOA
:	O
Capital	O
Inicial	O
O	O
melhor	O
do	O
DVD	O
para	O
suas	O
férias	O
Tubarão	B-OBRA
em	O
DVD	O
Marina	B-PESSOA
Person	I-PESSOA
comenta	O
o	O
MTV	B-ACONTECIMENTO
Movie	I-ACONTECIMENTO
Awards	I-ACONTECIMENTO
DVD	O
Castelo	O
Rá-Tim-Bum:	O
repleto	O
de	O
extras	O
Boas	O
surpresas	O
DVDs	O
para	O
o	O
Dia	B-TEMPO
das	I-TEMPO
Mães	I-TEMPO
Marina	B-PESSOA
Person	I-PESSOA
é	O
colunista	O
do	O
site	O
Guia	B-LOCAL
DVD	I-LOCAL
e	O
VJ	B-PESSOA
da	I-PESSOA
MTV	I-PESSOA
.	O
Atualmente,	O
ela	O
apresenta	O
o	O
programa	O
Contato	B-LOCAL
MTV	I-LOCAL
,	O
produz	O
uma	O
coluna	O
na	O
revista	O
Isto	B-LOCAL
É	I-LOCAL
Gente	I-LOCAL
e	O
outra	O
-	O
sobre	O
cinema	O
-	O
para	O
o	O
site	O
da	O
MTV	B-LOCAL
.	O
Marina	B-PESSOA
dirigiu,	O
ao	O
lado	O
de	O
Jorge	B-PESSOA
Espírito-Santo	I-PESSOA
o	O
curta-metragem	O
"	O
Almoço	B-OBRA
Executivo	I-OBRA
",	O
que	O
recebeu	O
os	O
prêmios	O
de	O
melhor	O
direção	O
nos	O
Festivais	B-ACONTECIMENTO
de	I-ACONTECIMENTO
Gramado	I-ACONTECIMENTO
e	O
Riocine	B-ACONTECIMENTO
.	O
topo	O
[redação]	O
[fale	O
com]	O

A	O
primeira	O
fase,	O
estendendo-se,	O
em	O
Angola	B-LOCAL
,	O
até	O
1881	B-TEMPO
,	O
antecedendo,	O
portanto,	O
a	O
saída	O
da	O
noveleta	O
Nga	B-OBRA
mutúri	I-OBRA
(	O
1882	B-TEMPO
),	O
de	O
Alfredo	B-PESSOA
Troni	I-PESSOA
,	O
caracteriza-se	O
pelo	O
Baixo-romantismo	B-ABSTRACCAO
(aplicamos	O
aqui,	O
para	O
uso	O
generalizado,	O
a	O
expressão	O
de	O
Fátima	B-PESSOA
Mendonça	I-PESSOA
relativa	O
a	O
Moçambique	B-LOCAL
),	O
de	O
clara	O
adopção	O
portuguesa,	O
embora	O
também	O
com	O
contributos	O
franceses	O
e	O
ingleses.	O
O	O
seu	O
populismo	O
cultural	O
pode	O
chamar-se	O
exógeno,	O
na	O
medida	O
em	O
que	O
as	O
apetências	O
populares,	O
em	O
formas	O
e	O
temas,	O
dizem	O
respeito	O
à	O
herança	O
cultural	O
lusíada,	O
apresentada	O
como	O
paradigma	O
a	O
seguir	O
com	O
inequívoco	O
deslumbramento,	O
cedendo	O
o	O
passo	O
às	O
coisas	O
angolanas	O
somente	O
em	O
termos	O
de	O
encomiástica	O
referencialidade	O
espacial	O
ou	O
onomástica,	O
não	O
propriamente	O
social,	O
histórica	O
ou	O
política,	O
o	O
que	O
apenas	O
aconteceria	O
mais	O
tarde,	O
por	O
exemplo,	O
com	O
a	O
Mensagem	B-OBRA
.	O
De	O
algum	O
modo,	O
é	O
como	O
se	O
uma	O
ideologia	O
de	O
apreço	O
pela	O
aristocracia	O
(visível	O
no	O
agrado	O
com	O
que	O
se	O
dedicam	O
poemas	O
ao	O
grupo	O
possidente,	O
com	O
deferências	O
para	O
os	O
monárquicos)	O
convivesse	O
descomplexadamente	O
com,	O
por	O
exemplo,	O
formas	O
poéticas	O
hauridas	O
nas	O
barcarolas	O
venezianas,	O
nos	O
lieds	O
germânicos	O
ou	O
nas	O
modinhas	O
brasileiras,	O
ao	O
mesmo	O
tempo	O
que	O
se	O
usa	O
a	O
medida	O
popular	O
portuguesa	O
da	O
redondilha	O
maior.	O
Já	O
na	O
segunda	O
fase,	O
que	O
se	O
espraia	O
pelas	O
décadas	O
de	O
80	B-TEMPO
e	O
90	B-TEMPO
do	O
século	B-TEMPO
XIX	I-TEMPO
,	O
tanto	O
em	O
Angola	B-LOCAL
como	O
em	O
Cabo	B-LOCAL
Verde	I-LOCAL
,	O
o	O
Realismo	B-ABSTRACCAO
,	O
igualmente	O
de	O
inspiração	O
portuguesa,	O
deixa	O
as	O
suas	O
marcas,	O
no	O
caso	O
daquele	O
território,	O
através	O
da	O
notória	O
atitude	O
queirosiana	O
de	O
Alfredo	B-PESSOA
Troni	I-PESSOA
.	O
Tendo	O
em	O
atenção	O
que	O
o	O
negro	O
surge	O
tratado	O
nos	O
textos,	O
se	O
bem	O
que	O
do	O
ponto	O
de	O
vista	O
de	O
um	O
complexo	O
de	O
inferioridade,	O
enquanto	O
indivíduo	O
com	O
possibilidades	O
de	O
ascensão	O
social,	O
com	O
frequência	O
como	O
figura	O
central	O
(em	O
poemas	O
ou	O
na	O
noveleta	O
Nga	B-OBRA
mutúri	I-OBRA
),	O
chamamos	O
a	O
esta	O
fase	O
a	O
do	O
Negro-realismo	B-ABSTRACCAO
(termo	O
criado	O
para	O
indicar	O
uma	O
realidade	O
literária	O
específica	O
de	O
África	B-LOCAL
,	O
bastante	O
aproximada	O
dos	O
Negrismos	B-ABSTRACCAO
americanos).	O
Sob	O
o	O
signo	O
da	O
Conferência	B-ACONTECIMENTO
de	I-ACONTECIMENTO
Berlim	I-ACONTECIMENTO
,	O
estigma	O
colonial	O
que	O
marcará,	O
a	O
ferro	O
e	O
fogo,	O
o	O
continente	O
africano	O
até	O
depois	O
da	O
Primeira	B-TEMPO
Guerra	I-TEMPO
Mundial	I-TEMPO
,	O
esta	O
fase,	O
que	O
vai	O
sensivelmente	O
até	O
1900	B-TEMPO
,	O
é	O
co-natural	O
à	O
"imprensa	O
livre"	O
e	O
assume	O
o	O
negro	O
(mais	O
particularmente,	O
a	O
negra)	O
como	O
personagem	O
ou	O
figura	O
que	O
aspira	O
à	O
integração	O
na	O
sociedade	O
(não	O
o	O
conseguindo	O
integralmente,	O
por	O
preconceito	O
ou	O
inacabamento	O
do	O
processo).	O

Alfredo	B-PESSOA
Troni	I-PESSOA
e	O
Cordeiro	B-PESSOA
da	I-PESSOA
Matta	I-PESSOA
,	O
em	O
Angola	B-LOCAL
,	O
Costa	B-LOCAL
Alegre	I-LOCAL
,	O
em	O
São	B-LOCAL
Tomé	I-LOCAL
e	I-LOCAL
Príncipe	I-LOCAL
,	O
ou	O
Campos	B-LOCAL
Oliveira	I-LOCAL
,	O
em	O
Moçambique	B-LOCAL
,	O
representam	O
essa	O
faceta	O
de	O
referir	O
a	O
cor	O
da	O
pele	O
com	O
preconceito,	O
ou,	O
então,	O
sem	O
a	O
assumir	O
descomplexadamente,	O
mesmo	O
que	O
se	O
verifique	O
uma	O
aculturação	O
que,	O
em	O
princípio,	O
conduziria	O
a	O
uma	O
hipotética	O
integração	O
plena.	O
Numa	O
concepção	O
irrestrita,	O
mas	O
não	O
ecléctica,	O
de	O
Realismo	B-ABSTRACCAO
oitocentista	O
aplicado	O
às	O
colónias,	O
o	O
Negro-realismo	B-ABSTRACCAO
abrange	O
efeitos	O
estilísticos	O
e	O
imagéticos	O
pertencentes	O
ao	O
território	O
do	O
parnasianismo,	O
do	O
simbolismo	O
e	O
do	O
decadentismo,	O
entendidos	O
estes	O
como	O
meros	O
epifenómenos	O
na	O
continuação	O
do	O
predomínio	O
daquele.	O
Segue-se	O
a	O
terceira	O
fase,	O
do	O
Regionalismo	B-ABSTRACCAO
Africano	I-ABSTRACCAO
.	O
No	O
início	O
do	O
século	B-TEMPO
XX	I-TEMPO
,	O
em	O
1901	B-TEMPO
,	O
em	O
Angola	B-LOCAL
,	O
a	O
intervenção	O
colectiva	O
de	O
um	O
grupo	O
de	O
intelectuais	O
que	O
se	O
manifestou	O
contra	O
um	O
artigo	O
colonialista	O
de	O
jornal,	O
reunindo	O
colaborações	O
sob	O
o	O
título	O
de	O
Voz	B-ABSTRACCAO
d’Angola	I-ABSTRACCAO
-	O
clamando	O
no	O
deserto	O
(	O
1901	B-TEMPO
),	O
abriu	O
uma	O
frente	O
de	O
reivindicação	O
da	O
igualdade	O
e	O
fraternidade,	O
precursora	O
dos	O
direitos	O
humanos,	O
definível	O
como	O
nativismo	O
(início	O
do	O
Regionalismo	B-ABSTRACCAO
),	O
quer	O
dizer,	O
de	O
uma	O
postura	O
decisivamente	O
consciente	O
de	O
anseios	O
autonomistas,	O
reagindo	O
às	O
guerras	O
de	O
ocupação	O
movidas	O
pela	O
potência	O
colonizadora.	O
Qualquer	O
modo	O
de	O
Regionalismo	B-ABSTRACCAO
Africano	I-ABSTRACCAO
(	O
1901-194l	B-TEMPO
),	O
seja	O
o	O
nativismo	O
ou	O
o	O
tipicismo,	O
é	O
também	O
um	O
modo	O
de	O
africanidade	O
dos	O
primeiros	O
momentos	O
(por	O
localista	O
que	O
seja),	O
antecedendo	O
a	O
decisiva	O
assunção	O
da	O
africanidade	O
negritudinista,	O
esta	O
muito	O
mais	O
radical	O
segundo	O
a	O
prática	O
pan-africanista	O
de	O
Césaire	B-PESSOA
,	O
Du	B-PESSOA
Bois	I-PESSOA
e	O
Padmore	B-PESSOA
.	O
O	O
primeiro	O
Regionalismo	B-ABSTRACCAO
Africano	I-ABSTRACCAO
,	O
o	O
do	O
nativismo,	O
visível	O
na	O
"	O
Ode	B-OBRA
a	I-OBRA
África	I-OBRA
"	O
e	O
na	O
actividade	O
jornalística	O
do	O
Manduco	B-ORGANIZACAO
de	O
Pedro	B-PESSOA
Cardoso	I-PESSOA
(	O
Cabo	B-LOCAL
Verde	I-LOCAL
),	O
em	O
"	O
Surge	B-OBRA
et	I-OBRA
ambula	I-OBRA
"	O
e	O
outros	O
poemas	O
de	O
Rui	B-PESSOA
de	I-PESSOA
Noronha	I-PESSOA
(	O
Moçambique	B-LOCAL
),	O
em	O
poemas	O
vários	O
de	O
Marcelo	B-PESSOA
da	I-PESSOA
Veiga	I-PESSOA
(	O
São	B-LOCAL
Tomé	I-LOCAL
e	I-LOCAL
Príncipe	I-LOCAL
),	O
ou	O
em	O
António	B-ABSTRACCAO
de	I-ABSTRACCAO
Assis	I-ABSTRACCAO
Júnior	I-ABSTRACCAO
(	O
Angola	B-LOCAL
),	O
transforma-se	O
numa	O
subtil,	O
mas	O
decidida,	O
primeira	O
"insurgência"	O
anti-metropolitana.	O

Caracteriza-se	O
ideologicamente	O
por	O
um	O
autonomismo	O
supraclassista,	O
com	O
origem	O
nos	O
ideais	O
republicanos,	O
maçónicos,	O
logo	O
se	O
associando	O
a	O
um	O
pan-africanismo	O
moderado,	O
permitindo	O
aceder,	O
por	O
essa	O
mistura	O
subversiva,	O
à	O
modernidade	O
possível,	O
vazada	O
num	O
conservadorismo	O
formal	O
e	O
retórico.	O

Andradas	B-LOCAL
Hoje	O
Online	O
Ano	B-OBRA
III	I-OBRA
-	I-OBRA
Número	I-OBRA
118	I-OBRA
Edição	I-OBRA
Digital	I-OBRA
nº	I-OBRA
40	I-OBRA
Andradas	B-LOCAL
,	O
07	B-TEMPO
de	I-TEMPO
Maio	I-TEMPO
de	I-TEMPO
2000	I-TEMPO
Esportes	O
Futebol	O
-	O
Estádio	O
em	O
Reforma	O
-	O
Perfil	O
Rio	B-PESSOA
Branco	I-PESSOA
enfrenta	O
América	B-PESSOA
em	O
BH	B-LOCAL
O	O
time	O
de	O
Andradas	B-LOCAL
treinou	O
toda	O
a	O
semana	O
para	O
o	O
difícil	O
compromisso	O
deste	O
domingo,	O
às	O
17	B-TEMPO
horas	I-TEMPO
,	O
no	O
Estádio	B-LOCAL
Independência	I-LOCAL
América	I-LOCAL
Mineiro	B-PESSOA
está	O
em	O
