word	true_class	pred_class
Antônio	I-ACONTECIMENTO	I-LOCAL
S	B-ACONTECIMENTO	B-LOCAL
.	B-ACONTECIMENTO	B-LOCAL
João	I-ACONTECIMENTO	I-LOCAL
Re	B-ORGANIZACAO	O
##port	B-ORGANIZACAO	O
##agem	B-ORGANIZACAO	O
Loc	I-ORGANIZACAO	O
##al	I-ORGANIZACAO	O
Pho	I-COISA	B-COISA
##work	B-COISA	B-OBRA
##s	B-COISA	B-OBRA
The	B-COISA	B-OBRA
Art	I-COISA	I-OBRA
##ic	I-COISA	I-OBRA
Av	B-COISA	B-OBRA
##tion	B-COISA	B-OBRA
Pho	I-COISA	I-ABSTRACCAO
##graph	I-COISA	I-OBRA
29	I-VALOR	B-VALOR
-	I-ORGANIZACAO	O
Imp	I-ORGANIZACAO	B-ORGANIZACAO
##er	I-ORGANIZACAO	O
##mea	I-ORGANIZACAO	B-ABSTRACCAO
##bil	I-ORGANIZACAO	B-ORGANIZACAO
##ização	I-ORGANIZACAO	B-ORGANIZACAO
##ção	I-ORGANIZACAO	I-ABSTRACCAO
Civil	I-ORGANIZACAO	I-ABSTRACCAO
,	I-ORGANIZACAO	O
L	I-ORGANIZACAO	O
##da	I-ORGANIZACAO	O
Is	I-PESSOA	B-ORGANIZACAO
##ot	I-PESSOA	B-ORGANIZACAO
##ex	I-PESSOA	B-ORGANIZACAO
##sa	I-PESSOA	B-ORGANIZACAO
Portuguesa	I-ORGANIZACAO	B-ORGANIZACAO
48	B-VALOR	I-VALOR
,	B-VALOR	I-VALOR
97	B-VALOR	I-VALOR
,	B-VALOR	I-VALOR
79	B-VALOR	I-VALOR
69	B-VALOR	I-VALOR
,	B-VALOR	I-VALOR
48	B-VALOR	I-VALOR
Obras	B-ABSTRACCAO	B-LOCAL
Cond	B-ABSTRACCAO	B-ORGANIZACAO
##om	B-ABSTRACCAO	B-ORGANIZACAO
##ínios	B-ABSTRACCAO	B-ORGANIZACAO
Net	B-ORGANIZACAO	O
##pa	B-ORGANIZACAO	O
##ge	B-ORGANIZACAO	O
deputado	O	B-PESSOA
15	I-VALOR	B-VALOR
sub	B-PESSOA	O
##pro	B-PESSOA	O
##cura	B-PESSOA	O
##dor	B-PESSOA	O
-	B-PESSOA	O
geral	B-PESSOA	O
da	I-PESSOA	O
República	I-PESSOA	B-ORGANIZACAO
Ita	B-PESSOA	B-ORGANIZACAO
##mara	B-PESSOA	B-ORGANIZACAO
##ty	B-PESSOA	B-ORGANIZACAO
Sal	B-PESSOA	B-ORGANIZACAO
##inas	B-PESSOA	B-ORGANIZACAO
Ita	I-PESSOA	B-PESSOA
Aud	O	B-PESSOA
##itor	O	B-PESSOA
Fis	O	I-PESSOA
##cal	O	I-PESSOA
do	O	I-PESSOA
IN	B-ORGANIZACAO	I-ORGANIZACAO
##SS	B-ORGANIZACAO	I-PESSOA
na	I-ORGANIZACAO	O
Coorden	I-ORGANIZACAO	B-ORGANIZACAO
##ação	I-ORGANIZACAO	B-ORGANIZACAO
40	B-VALOR	I-VALOR
##9	B-VALOR	I-VALOR
,	B-VALOR	I-VALOR
66	B-VALOR	I-VALOR
.	B-VALOR	I-VALOR
61	B-VALOR	I-VALOR
##3	B-VALOR	I-VALOR
Gra	B-OBRA	O
##tificação	B-OBRA	B-OUTRO
de	I-OBRA	I-ABSTRACCAO
Desem	I-OBRA	I-ABSTRACCAO
##penh	I-OBRA	I-ABSTRACCAO
##o	I-OBRA	I-ABSTRACCAO
por	I-OBRA	I-OUTRO
At	I-OBRA	I-ABSTRACCAO
##ividade	I-OBRA	I-ABSTRACCAO
Tri	I-OBRA	I-ABSTRACCAO
##bu	I-OBRA	I-ABSTRACCAO
##tária	I-OBRA	I-ABSTRACCAO
G	B-OBRA	B-OUTRO
##DA	B-OBRA	B-OUTRO
##T	B-OBRA	O
##ada	B-ORGANIZACAO	I-ORGANIZACAO
##ção	B-ORGANIZACAO	I-ORGANIZACAO
do	I-ORGANIZACAO	O
IN	I-ORGANIZACAO	B-ORGANIZACAO
##SS	I-ORGANIZACAO	B-ORGANIZACAO
99	I-OBRA	B-TEMPO
Legisla	O	B-ABSTRACCAO
##ção	O	B-ABSTRACCAO
99	I-OBRA	B-TEMPO
Pre	B-ABSTRACCAO	B-ORGANIZACAO
Mosteiro	B-LOCAL	B-ORGANIZACAO
São	I-LOCAL	I-ORGANIZACAO
de	O	I-ORGANIZACAO
São	B-LOCAL	I-LOCAL
de	O	B-TEMPO
Corrêa	B-LOCAL	I-PESSOA
,	B-LOCAL	O
1999	I-LOCAL	B-TEMPO
,	I-LOCAL	O
p	I-LOCAL	O
.	I-LOCAL	O
16	I-LOCAL	O
Freguesia	B-LOCAL	B-ORGANIZACAO
de	I-LOCAL	I-ORGANIZACAO
Ita	I-LOCAL	I-ORGANIZACAO
##pec	I-LOCAL	I-ORGANIZACAO
##eric	I-LOCAL	I-ORGANIZACAO
##a	I-LOCAL	I-ORGANIZACAO
Vila	B-ABSTRACCAO	B-ORGANIZACAO
Ita	I-LOCAL	B-LOCAL
##pec	I-LOCAL	B-LOCAL
##eric	I-LOCAL	B-LOCAL
##a	I-LOCAL	B-LOCAL
Escola	B-ORGANIZACAO	O
89	I-OBRA	I-TEMPO
de	O	I-OBRA
Contra	B-OBRA	O
##to	B-OBRA	O
Programa	I-OBRA	O
da	I-LOCAL	O
Região	I-LOCAL	B-LOCAL
Concelho	O	B-LOCAL
Mora	O	B-LOCAL
Manuel	I-LOCAL	B-LOCAL
-	I-LOCAL	O
Pombal	I-LOCAL	B-LOCAL
Escola	O	B-ORGANIZACAO
para	I-ORGANIZACAO	O
a	I-ORGANIZACAO	O
UN	I-ORGANIZACAO	B-ORGANIZACAO
##IC	I-ORGANIZACAO	B-ORGANIZACAO
##EF	I-ORGANIZACAO	B-ORGANIZACAO
Agência	B-LOCAL	B-ORGANIZACAO
Fontes	I-LOCAL	I-ORGANIZACAO
Pereira	I-LOCAL	I-ORGANIZACAO
de	I-LOCAL	I-ORGANIZACAO
Melo	I-LOCAL	I-ORGANIZACAO
para	I-ORGANIZACAO	O
a	I-ORGANIZACAO	O
UN	I-ORGANIZACAO	B-ORGANIZACAO
##IC	I-ORGANIZACAO	B-ORGANIZACAO
##EF	I-ORGANIZACAO	B-ORGANIZACAO
B	B-ORGANIZACAO	O
##PS	B-ORGANIZACAO	O
##M	B-ORGANIZACAO	O
.	B-OBRA	O
40	I-OBRA	O
:	I-OBRA	O
##s	B-ORGANIZACAO	O
Comer	I-ORGANIZACAO	O
##ciais	I-ORGANIZACAO	B-ORGANIZACAO
##s	B-ORGANIZACAO	O
08	B-VALOR	I-VALOR
$	B-VALOR	I-VALOR
00	B-VALOR	I-VALOR
Timor	B-LOCAL	B-ORGANIZACAO
$	B-VALOR	I-VALOR
00	B-VALOR	I-VALOR
000	B-VALOR	I-VALOR
$	B-VALOR	I-VALOR
00	B-VALOR	I-VALOR
Moçambique	B-LOCAL	B-ORGANIZACAO
000	B-VALOR	I-VALOR
$	B-VALOR	I-VALOR
00	B-VALOR	I-VALOR
Tele	I-ORGANIZACAO	B-ORGANIZACAO
##com	I-ORGANIZACAO	B-ORGANIZACAO
000	B-VALOR	I-VALOR
$	B-VALOR	I-VALOR
00	B-VALOR	I-VALOR
Kos	B-LOCAL	B-ORGANIZACAO
##ov	B-LOCAL	B-ORGANIZACAO
##o	B-LOCAL	B-ORGANIZACAO
All	I-ORGANIZACAO	B-ORGANIZACAO
##ian	I-ORGANIZACAO	B-ORGANIZACAO
##z	I-ORGANIZACAO	B-ORGANIZACAO
61	B-VALOR	I-VALOR
##8	B-VALOR	I-VALOR
$	B-VALOR	I-VALOR
00	B-VALOR	I-VALOR
Timor	B-LOCAL	B-ORGANIZACAO
18	I-TEMPO	B-TEMPO
Cra	B-ABSTRACCAO	B-PESSOA
##ve	B-ABSTRACCAO	B-PESSOA
##iro	B-ABSTRACCAO	B-PESSOA
Lor	B-PESSOA	B-LOCAL
##no	B-PESSOA	B-LOCAL
Prov	B-ABSTRACCAO	B-PESSOA
##idência	B-ABSTRACCAO	B-PESSOA
TV	O	B-LOCAL
de	O	I-VALOR
E	B-ABSTRACCAO	O
-	B-ABSTRACCAO	O
Ma	B-ABSTRACCAO	O
##il	B-ABSTRACCAO	O
Mark	I-ABSTRACCAO	O
##et	I-ABSTRACCAO	O
##ing	I-ABSTRACCAO	O
